genre_ids,id,overview,popularity,release_date,title,vote_average,vote_count,keyword,est_date,date
[18],47446,"Hecuba and the other women of Troy rise to find their city in ruins and their cause lost. The city has fallen into Greek hands and it is likely their lot to become slaves of Greek soldiers. A messenger approaches to inform them that the lots have been drawn and each woman will be taken to the man who drew for her. Of particular interest is Hecuba's daughter, Cassandra, who is chosen for the Greek kings bedchamber. She has received word of this news already and is in hiding because she has sworn an oath to the gods that she will live as a virgin. When she is found she has some particularly nasty things to say about treatment at Greek hands.",4.582,5/1/1971,The Trojan Women,6.5,14,['Troy '],[-3000],-1300
[18],2719,"An ordinary man is called upon by God to do the impossible in this lovingly told production of the Old Testament story. When the Pharaoh of Egypt begins to tighten the noose on his Jewish slaves, Moses (Ben Kingsley) leads them to freedom. Philip Stone, Anthony Higgins, Anton Lesser and Anita Zagaria are featured in this award-winning installment from TNT's ""greatest stories of the Bible"" series directed by Roger Young.",8.961,12/20/1995,Moses,6.4,26,"['Egypt', 'Moses']","[-3150, -1250]",-1300
"[12, 36, 10752]",652,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.",45.393,5/3/2004,Troy,7.1,8126,"['Achilles', 'Sparta']","[-1300, -1000]",-1250
[18],372519,Follows Moses leading and conducting the Hebrew people from the slavery of Egypt to the freedom towards the Promised Land according to the Ancient Testament Bible book of the Exodus. The story told like never before is faithful to the Scriptures.,39.529,1/28/2016,The Ten Commandments: The Movie,7.3,229,"['Egypt', 'Moses']","[-3150, -1250]",-1250
"[12, 28]",493416,"In this re-telling of Iliad, set in 1174 B.C. after ten years of fighting in the Trojan War, the Greek warrior Odysseus decides to travel for home, but instead finds a string of mis-adventures over the sea and land as he, along with a captive Trojan warrior named Circe as well as a group of loyal Greek soldiers, venture on the sea and land to get home to the island kingdom of Icarus and fighting sea sirens, and other mystical creatures to get home to his wife Penelope who is being hounded by a group of suitors hoping she will chose to make one of them their bride.",3.842,10/15/2017,Troy the Odyssey,4.8,16,['Trojan war'],[-1300],-1174
"[36, 18]",5040,"Young Pharaoh Ramses XIII clashes with Egypt's clergy over influence on the affairs of the state and its coffers. inexperienced, but quite ambitious pharaoh is putting up a fight against a powerful clan of priests usurping rule over the country.",5.433,3/10/1966,Pharaoh,6.8,49,"['Egypt', 'Ramses']","[-3150, -1250]",-1140
"[18, 10749, 12]",29993,"When strongman Samson rejects the love of the beautiful Philistine woman Delilah, she seeks vengeance that brings horrible consequences they both regret. The classic story of Samson and Delilah as told by Cecil B. DeMille.",23.176,12/21/1949,Samson and Delilah,6.5,127,['Samson'],[-1118],-1100
[35],298509,Comedic retelling of the events around the biblical character: Samson.,0.871,10/6/1955,Lo que le pasó a Sansón,6.9,7,['Samson'],[-1118],-1100
"[12, 28, 18, 10749]",206004,"Maciste travels to Egypt, where he leads a revolt against an evil queen. In Son of Samson, Maciste (Mark Forrest) -- scion of the famed muscleman -- travels to the Egyptian city of Tanis to checkmate villainous Queen Smedes (Chelo Alonso), who's persecuting the citizenry.",2.016,11/24/1960,Son of Samson,6,8,"['Egypt', 'Samson']","[-3150, -1118]",-1050
"[18, 10749, 36]",42567,"King David enters into an adulterous affair with the beautiful Bathsheba, which has tragic consequences for his family and Israel.",5.652,8/10/1951,David and Bathsheba,6.4,35,['Bathsheba'],[-975],-1000
"[36, 18, 12]",58430,"David, now an old man, is still king of Israel. Among his sons, the ambitious Adonijah and the clever Solomon. The two young men are fierce rivals, since both are prospective heirs to the throne and only one can be successful.",4.032,12/15/1997,Solomon,5.9,16,['Solomon'],[-970],-1000
"[36, 10749]",29996,"Under the rule of King David, Israel is united and prosperous although surrounded by enemies including Egypt and its allies. The aging King David favors his younger son, Solomon, as his successor, but David's  elder son Prince Adonijah, a warrior, declares himself King. When David learns of this, he publicly announces Solomon to be his successor. Adonijah and Joab, his general, withdraw in rage. Israel prospers under King Solomon's wise and benevolent rule and is seen as a threat to more tyrannical monarchs in the region. The Pharaoh of Egypt agrees to cede a Red Sea port to the Queen of Sheba in a plot to undermine Solomon's rule. Sheba is to seduce Solomon and introduce Sheban pagan worship into Jerusalem. Meanwhile, Prince Adonijah, now banished, also conspires with Pharaoh and is given an army to defeat Solomon. The film is a highly fictionalized dramatization of events depicted in The Bible -- First Kings chapter 10 and Second Chronicles chapter 9.",18.108,12/25/1959,Solomon and Sheba,6.5,53,"['Egypt', 'Jerusalem', 'Solomon']","[-3150, -2800, -970]",-970
"[28, 18, 36, 10752]",153779,"Solomon, Prophet and the King, has asked God to give him an ideal kingdom which has never been given to anybody before. He is told to prepare himself and his subjects with evil and unearthly creatures that haunt the men.",2.567,10/8/2010,The Kingdom of Solomon,6.8,8,['Solomon'],[-970],-970
"[18, 36, 10749]",60915,"Semiramis, a powerful and beautiful Assyrian queen, oversees the construction of the luxurious city of Babylon. She falls in love with Kir, a fallen prince turned into a slave who corresponds to her love. But a palace conspiracy will make the two lovers separate and confront each other.",1.491,3/22/1963,I Am Semiramis,7,1,"['Babylon', 'Assyria']","[-1700, -1500]",-800
"[18, 28, 12]",366585,The Sabine tribe battles Romulus in the early days of Rome after Romans seize their women as unwilling brides.,0.78,7/19/1962,The Shame of the Sabine Women,5.2,5,"['Rome', 'Romulus']","[-753, -753]",-775
"[28, 36, 18]",565179,"Romulus and Remus, two shepherds and loyal brothers, end up taking part to a journey that will lead one of them to be the founder of the greatest nation ever seen. However, the fate of the chosen one will pass from killing his own brother.",15.937,1/31/2019,The First King,7.1,888,['Romulus'],[-753],-753
"[14, 28, 12]",96786,"Twin brothers were raised by wolves, revolt against tyranny in pre-Roman Italy and then come to a parting of the ways as they lead their people toward the founding of a new city, the founders of Rome.",4.113,12/6/1961,Duel of the Titans,4.9,16,['Rome'],[-753],-753
[35],412225,"The history of Rome revisited by the group of Bagaglino (Franco, Montesano, Castellacci and Pingitore). Romulus kills Remus, but also manages to get rid of him. The sister continues to bother him in the ghost robes. When Romulus founded Rome and abducted the Sabine, dies, hell, he is received, needless to say, the petulantissimo Remo.",1.373,1/29/1976,Romulus and Remus: The Story of Two Sons of a Wolf,4,1,"['Rome', 'Romulus']","[-753, -753]",-753
[12],138519,"An Italian adventure film starring Roger Moore as Romulus in the early days of Rome. His city of thieves is populated entirely by men, and so Romulus is convinced to find some ladies. After finding some in Sabinia, he proceeds to take them to his city and engage them to his men. The Sabines declare war and battle ensues.",1.646,11/15/1961,Romulus and the Sabines,5.8,6,"['Rome', 'Romulus']","[-753, -753]",-725
"[18, 12, 28]",223168,"In this Biblical epic, a brave Chaldean rebel takes on his evil nemesis, a cruel Assyrian king. En route to his fateful meeting, the rebel hides in the humble hut of a luscious peasant girl.",0.976,9/21/1954,The Queen of Babylon,4,1,['Assyria'],[-1500],-600
"[36, 12]",350806,"The Jews are taken from Jerusalem and made slaves by King Nebuchadnezzar. In the meantime Cyrus, king of the Persians, who has been living as a shepherd, is proclaimed king and defeats Nebuchadnezzar.",0.6,10/21/1953,Slaves of Babylon,6,1,"['Jerusalem', 'Cyrus', 'Persia', 'Persian']","[-2800, -550, -550, -550]",-580
"[12, 14]",150912,Goliath battles for the freedom of the Babylonian people.,1.786,12/3/1963,Goliath and the Sins of Babylon,5.3,5,['Babylon'],[-1700],-560
[12],330390,The rightful heir to the throne of Babylon leads a slave revolt against an evil ruler.,1.121,8/22/1963,Hero of Babylon,4,1,['Babylon'],[-1700],-539
"[18, 12]",164302,"Marching down the Italian peninsula to sack ancient Rome, Etruscan warrior Drusco instead offers to hold back his onslaught if the Romans hand over hostages, including Clelia, the sexy leader of a clan of woman warriors. But before long, intrigue and betrayal unravel the fragile peace. Directors Carlo Ludovico Bragaglia and Vittorio Cottafavi helm this vintage sword-and-sandal epic.",1.89,3/24/1961,Amazons of Rome,5.1,4,['Rome'],[-753],-509
"[36, 12, 18, 10752]",18696,A Greek soldier leads the fight against an invading Persian army.,2.637,12/3/1959,The Giant of Marathon,5.4,18,"['Persia', 'Persian']","[-550, -550]",-490
"[28, 18, 36]",19972,"Essentially true story of how Spartan king Leonidas led an extremely small army of Greek Soldiers (300 of his personal body guards from Sparta) to hold off an invading Persian army now thought to have numbered 250,000.",12.88,8/1/1962,The 300 Spartans,6.3,90,"['Sparta', 'Persia', 'Persian', 'Leonidas']","[-1000, -550, -550, -540]",-480
"[28, 12, 10752]",1271,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",34.51,3/7/2007,300,7.2,11243,"['Sparta', 'Persia', 'Persian', 'Battle of Thermopylae', 'Thermopylae']","[-1000, -550, -550, -480, -480]",-480
[35],7278,"The heroic Leonidas, armed with nothing but leather underwear and a cape, leads a ragtag group of 13 Spartans to defend their homeland against the invading Persians (whose ranks include Ghost Rider, Rocky Balboa, the Transformers, and a hunchbacked Paris Hilton). No one is safe when the Spartans take on the biggest icons in pop culture!",25.126,1/24/2008,Meet the Spartans,4,1248,"['Sparta', 'Persia', 'Persian', 'Leonidas']","[-1000, -550, -550, -540]",-480
"[36, 18, 10770]",2700,"King of the Persians,  summons his attractive wife Vashti, to show off her beauty to the guests, the proud queen refuses to come. The king promptly bans her from ever entering his presence again, and gives orders for the most beautiful young virgins in the land to be brought to him. The young Jewess Esther, adopted daughter of her uncle Mordecai, is among the girls selected;",4.662,3/29/1999,Esther,5.5,15,"['Persia', 'Persian']","[-550, -550]",-475
[18],199153,"When Ester becomes King Xerxes’ queen, her Cousin Mordecai and that despicable Haman engage in a dangerous game of intrigue for control of the young Persian King Xerxes.",21.543,5/31/2013,The Book of Esther,6,12,"['Persia', 'Persian', 'Xerxes']","[-550, -550, -550]",-475
"[28, 18]",53182,"Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistokles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",46.489,3/5/2014,300: Rise of an Empire,6.1,5323,"['Persia', 'Persian', 'Xerxes']","[-550, -550, -550]",-475
[18],168408,"Recently widowed Persian King Ahasuerus wants to marry the beautiful Esther. But Esther is a Jewess, and Haman, the king's evil minister, is spreading hatred against the Jews.  Set in the  4th century B.C., this Biblical epic stars Richard Egan (Demetrius And The Gladiators, A Summer Place) as Ahasuerus and Italian leading man Sergio Fantoni as Haman.  Esther is portrayed by none other than Joan Collins, who would later gain fame as the scheming Alexis Carrington, in the hit TV series Dynasty.  Directed by Raoul Walsh (The Thief of Bagdad, High Sierra, White Heat).  1960 / Running Time: 109 min. / Color",2.377,11/18/1960,Esther and the King,5.9,7,"['Persia', 'Persian', 'Gladiators']","[-550, -550, -264]",-470
[18],15005,"This amazing biblical drama chronicles the brave and historic legend of Hadassah, a Jewish orphan with exceptional beauty who rises to become Queen Esther of Persia and saves Persian Jews from genocide. By revealing her heritage to the king, Esther thwarts the evil prime minister's plan to annihilate all Jews in the Persian Empire. The annual festival of Purim is inspired by her heroism.",8.121,10/10/2006,One Night with the King,6.6,46,"['Persia', 'Persian']","[-550, -550]",-470
"[18, 10770]",119925,"When Pericles discovers the dread answer to Antioch's riddle, he flees for his life straight into famine, shipwreck, love, fatherhood, and another shipwreck; he loses his wife and daughter, and doesn't find them again until the story moves us through resurrection, attempted murder, pirates, prostitution, and divine revelation.",0.635,12/8/1984,"Pericles, Prince of Tyre",7,1,['Pericles'],[-461],-450
"[35, 10402]",286405,"Based on Aristophanes's play, Athenian women band together to encourage their men to stop fighting the Spartans by withholding sex from them when they return from the front.",0.802,9/25/1972,Lysistrata,6.8,6,['Sparta'],[-1000],-410
[35],178184,"Two itinerant actress, the Vlakometros and Poniridis, arrive at Adira, a city of ancient Greece groaning under the despotic rule of the tyrant Hippias, to give a performance. Because Vlakometros is identical to Hippias, the dissident intellectuals will try to use it to overthrow the tyrant. A series of incredible comedic misunderstandings and unexpected will follow in this brilliant political satire, which had experienced serious problems with censorship when the Junta was.",0.65,9/29/1972,Μπουμ Ταρατατζούμ,4.5,2,['Hippias'],[-510],-405
[],383695,"The last few days in the life of Socrates, including his trial.",0.6,11/11/1966,Barefoot in Athens,6.3,3,['Socrates'],[-469],-399
"[18, 36]",74778,A false accusation leads the philosopher Socrates to trial and condemnation in 4th century BC Athens.,3.16,6/17/1971,Socrates,7.1,28,['Socrates'],[-469],-399
"[18, 10770]",138797,"At house of Agathon get together many intellectuals and philosophers, including Socrates, to discuss the theme of love and sex: each of them intervenes to support its argument dialogical rules, within the context symposial.",0.712,7/27/1989,Plato's Banquet,5.5,2,['Socrates'],[-469],-375
"[28, 12, 18, 36, 10752]",42668,"He was a fierce military commander who led huge armies into battle without a single defeat; a magnificent warrior who many believed was part god - this was Alexander the Great (Richard Burton), the legendary Greek hero hailed by his countrymen as ""The King of Kings"". Born in 356 B.C. into a turbulent world of political unrest, educated by Aristotle (Barry Jones) and chosen to lead his people in the grand tradition of his powerful father (Fredric March), this glamorous world conqueror rose above all conflict to unite the continents of Europe and Asia to become one of the most celebrated rulers of all time! Written, produced and directed by Oscar - winner Robert Rossen and featuring the extraordinary Claire Bloom and a remarkable cast of thousands, this stunning portrait of one of history's most fascinating figures is colossal entertainment and an amazing spectacle.",7.49,3/28/1956,Alexander the Great,5.8,58,"['Aristotle', 'Alexander the Great']","[-384, -356]",-356
"[36, 18]",458191,The story of Alexander the Great.,0.882,6/12/1961,Adventure Story,6,1,['Alexander the Great'],[-356],-356
[12],228867,"During the 3rd century B.C. a horde of barbarians are hired by the Phoenian city of Carthage to fight against the Roman empire, but when the city's ruler is unable to fulfill the promised payment made to the mercenaries, they attack the African settlement, where Salammbô --the king's daughter and high priestess of goddess Tanit- tries to settle the matter when the Barbarian leader who has fallen for her steals the sacred veil of Carthage from the temple, without taking into account the evil schemes of a powerful member of the council of wise men.",1.478,3/24/1960,The Loves of Salammbo,4,2,['Carthage'],[-814],-300
"[36, 18, 12]",43020,"While on holiday in Rhodes, Athenian war hero Darios becomes involved in two different plots to overthrow the tyrannical king, one from Rhodian patriots and the other from sinister Phoenician agents.",8.774,6/15/1961,The Colossus of Rhodes,6,126,['Rhodes'],[-292],-280
"[18, 36]",68906,"In 221 BC, Qin Shihuangdi conquered the rest of China. Qin's great accomplishments and also his serious faults are showed in this film. Qin adopted autocratic dictatorship and led a luxurious life: abolition of feudalism and the centralization of power in the form of a now-hereditary bureaucracy loyal to himself; burning books and burying scholars; the construction of a sumptuous palace for his concubines and also the Great Wall.",1.619,11/1/1962,The Great Wall,6,2,['Great Wall'],[-220],-221
[12],113743,"Rome is on the verge of being conquered by Hannibal (Howard Keel). While Rome's ruler, Fabius Maximus (George Sanders), plots a defense against Hannibal's armies, Fabius' fiancée, Amytis (Esther Williams), is curious about the fearless conquerer. Amytis travels to Hannibal's camp just to get a look at him, but she ends up being captured. However, she is instantly smitten by the Carthaginian commander, so she tries to shift his attentions away from Rome -- and to her instead.",1.071,2/18/1955,Jupiter's Darling,4,2,"['Rome', 'Hannibal', 'Carthaginian']","[-753, -218, -218]",-218
"[36, 12, 18]",169818,A Carthaginian general attempts to cross the Alps with an army of elephants in order to conquer Rome.,4.165,12/21/1959,Hannibal,5.5,14,"['Rome', 'Carthaginian']","[-753, -218]",-218
"[36, 35]",273868,"Years after the Second Punic War, Scipio Africanus finds himself generally unliked, despite his defeat of Hannibal Barca. He and his brother, Scipio Asiaticus, are accused by Marcus Porcius Cato of the theft of 500 talents intended for Rome.",1.01,9/9/1971,Scipio the African,7.2,10,"['Rome', 'Hannibal', 'Punic War']","[-753, -218, -218]",-200
"[12, 36, 18]",330395,"The Jews of Jerusalem are driven out by their Syrian rulers. They gather their forces, and return to drive out their oppressors.",1.124,4/9/1962,The Old Testament,7,1,['Jerusalem'],[-2800],-166
"[18, 28, 12, 10749, 10752]",207234,"Carthage in Flames is a 1960 Italian historical drama film directed by Carmine Gallone and starring Pierre Brasseur, Daniel Gélin and Anne Heywood. The film depicts the last of the Punic Wars between the Roman Republic and Carthage.",2.274,1/28/1960,Carthage in Flames,7,2,"['Carthage', 'Punic War']","[-814, -218]",-149
[12],205031,Julius Caesar flees Rome because of a conspiration against him and takes refuge by the king of Bitinia. He finds a woman there and while he escorts her to Rhodes their ship is attacked. Caught by the pirates he asks for help to get back to Rome.,0.877,4/23/1962,Caesar Against the Pirates,4,1,"['Rome', 'Rhodes']","[-753, -292]",-75
"[36, 10752, 18, 12]",967,"The rebellious Thracian Spartacus, born and raised a slave, is sold to Gladiator trainer Batiatus. After weeks of being trained to kill for the arena, Spartacus turns on his owners and leads the other slaves in rebellion. As the rebels move from town to town, their numbers swell as escaped slaves join their ranks. Under the leadership of Spartacus, they make their way to southern Italy, where they will cross the sea and return to their homes.",21.898,10/13/1960,Spartacus,7.6,1568,"['Sparta', 'Spartacus']","[-1000, -73]",-73
[12],284016,"During Julius Caesar's invasion of Gallia: The Gauls have broken their treaty with the Romans. Marcus Valerius and his friend are sent to punish them. Antea's father wants to have peace with Rome, having once been there and acknowledging their superior culture, but Lysircus forces a severely anti-Roman politic. When her father is killed by him in treachery, Antea joins the Romans who have to evade into a swamp. She falls in love with Marcus. Will she forsake her people forever?",1.4,2/2/1961,Slave of Rome,4.2,3,['Rome'],[-753],-54
"[12, 18, 36]",208835,"The decurion Randus holds himself so well in the command of his troops, that Caesar promotes him to centurion. He is subsequently sent to Egypt, to keep Cesar informed on the actions and intentions of co-triumvir Marcus Licinius Crassus - a man too rich, and ambitious, for Caesar's comfort. A fateful sea trip from Egypt to Rome forces Randus in captivity by mercenary troops, and leads a revolt by which he gets freedom for himself, and all the other slaves. Through an amulet he received from his late mother, a man who had fought by Spartacus' side, identifies the young man as Spartacus' and Varinia's son. At first reluctant to accept this story about his origins, Randus will be forced by the circumstances to repeat the feat of his father, twenty years later.",3.119,8/24/1962,The Slave,6.6,6,"['Egypt', 'Sparta', 'Rome', 'Spartacus']","[-3150, -1000, -753, -73]",-50
"[18, 36, 35]",31561,The aging Caesar finds himself intrigued by the young Egyptian queen. Adapted by George Bernard Shaw from his own play.,6.696,12/11/1945,Caesar and Cleopatra,6.3,37,['Egypt'],[-3150],-46
"[12, 36]",330627,"Story of the power struggle between Egyptian queen Cleopatra and her brother Ptolemy, and how a common soldier risks his life to serve her.",1.073,12/22/1962,A Queen for Caesar,6,1,"['Egypt', 'Cleopatra']","[-3150, -51]",-45
"[10749, 35]",112424,The story of egyptian princess Cleopatra's amorous adventures.,1.082,3/1/1970,The Notorious Cleopatra,4.4,4,['Cleopatra'],[-51],-45
[10749],326088,"Caesar brings the Egyptian queen Cleopatra to Rome, but their intense passion for each other has started to cool. As others prepare seek to bring about a conspiracy against Caesar and Cleopatra, every night Cleopatra begins to dream the same dream: her former lover is killed by his close associates. Her high priest states that the dream is one of prophecy, and no action can stop the march of events. Despite this, the Egyptian queen sends her messengers to Caesar, seeking to warn him that the fatal wounds will be inflicted by Brutus.",3.932,7/24/1985,The Erotic Dreams of Cleopatra,7.2,3,"['Egypt', 'Rome', 'Cleopatra']","[-3150, -753, -51]",-45
[18],465616,"Caesar returns in triumph to Rome and the people pour out of their homes to celebrate. Alarmed by the autocrat’s popularity, the educated élite conspire to bring him down. After his assassination, civil war erupts on the streets of the capital.  Nicholas Hytner’s production will thrust the audience into the street party that greets Caesar’s return, the congress that witnesses his murder, the rally that assembles for his funeral and the chaos that explodes in its wake.",3.466,3/22/2018,National Theatre Live: Julius Caesar,7,3,['Rome'],[-753],-44
"[35, 12, 36]",613370,"Faced with the tyranny of Caesar who acts as absolute master over Rome, Senators Rufus and Cassius form a plot to assassinate him.",7.63,9/18/2020,Brutus vs Cesar,4,161,['Rome'],[-753],-44
"[18, 36, 10749]",8095,"Determined to hold on to the throne, Cleopatra seduces the Roman emperor Julius Caesar. When Caesar is murdered, she redirects her attentions to his general, Marc Antony, who vows to take power—but Caesar’s successor has other plans.",20.972,6/12/1963,Cleopatra,7.1,490,['Cleopatra'],[-51],-43
[35],5066,"Two Brits—inventor Hengist Pod, and Horse, a brave and cunning fighter—are captured and enslaved by invading Romans and taken to Rome. One of their first encounters in Rome leaves Hengist being mistaken for a fighter, and gets drafted into the Royal Guard to protect Cleopatra.",5.207,11/8/1964,Carry On Cleo,6.8,62,"['Rome', 'Cleopatra']","[-753, -51]",-43
[18],533575,"Caesar and his assassins are dead. General Mark Antony now rules alongside his fellow defenders of Rome. But at the fringes of a war-torn empire the Egyptian Queen Cleopatra and Mark Antony have fallen fiercely in love. In a tragic fight between devotion and duty, obsession becomes a catalyst for war.",1.811,12/6/2018,National Theatre Live: Antony & Cleopatra,7.6,8,"['Egypt', 'Rome', 'Mark Antony', 'Cleopatra']","[-3150, -753, -83, -51]",-43
"[36, 12]",114771,"Cleopatra (Rhonda Fleming) toys with Mark Antony (Raymond Burr), who wants to merge his Rome with her Egypt.",1.648,5/8/1953,Serpent of the Nile,7.7,3,"['Egypt', 'Rome', 'Mark Antony', 'Cleopatra']","[-3150, -753, -83, -51]",-41
[35],81908,"Mark Antony recalled to Rome from Alexandria by Ottavio wants him to marry his sister Octavia, Fulvia lawful wife is kidnapped by replacing it with Totonno brother, who looks like him as a drop of water. Totonno must be but here in Egypt Cleopatra mistreats the point of being sentenced to death but was pardoned Marc Antony returned. Octavius ​​declares war on Egypt, Mark Antony and Totonno dies take his place back at the side of Octavia in Rome served by Cleopatra who made ​​his slave.",3.189,8/14/1963,Toto and Cleopatra,6.9,53,"['Egypt', 'Rome', 'Mark Antony', 'Cleopatra']","[-3150, -753, -83, -51]",-41
[],509606,"Cleopatra, the alluring and fascinatingly ambiguous Queen of Egypt, has bewitched the great Mark Antony, soldier, campaigner and now one of the three rulers of the Roman Empire. When Antony quarrels with his fellow leaders and throws in his lot with Cleopatra, his infatuation threatens to split the Empire in two.",0.6,1/1/2014,Antony and Cleopatra - Live at Shakespeare's Globe,8.8,2,"['Egypt', 'Mark Antony', 'Cleopatra', 'Roman Empire']","[-3150, -83, -51, -27]",-41
"[12, 36]",270673,"After the death of Octavian, the rebel populations of Illyria and Pannonia pose a grave threat to the Roman Empire. Tribune Marcus Ventidius is sent to subdue the uprising and, after a bitter battle, captures Pannonian chief Magdus together with a number of women hostages. These include Magdus's own daughter Helen, betrothed to cruel Illyrian warrior Batone who has killed many Romans. Julia, daughter of the Roman governor Messala, is in love with Tribune Marcus and, jealous of his sympathy for the barbarian girl, plots an escape by Helen and her father. Pursuing the fugitives, Marcus crosses a mountain pass where Batone has laid a trap.",1.287,2/1/1966,In the Shadow of the Eagles,4.8,4,['Roman Empire'],[-27],-39
"[18, 36, 10749]",106385,"Octavius Caesar (later renamed Augustus Caesar, son of the murdered Julius Caesar), Marc Antony, and Lepidus form the triumvirate, the three rulers of the Roman Empire. Antony, though married to Fulvia, spends his time in Egypt, living a life of decadence and conducting an affair with Queen Cleopatra. In Antony's absence, Caesar and Lepidus worry about Pompey's increasing strength.",1.027,5/8/1981,Antony & Cleopatra,6.3,3,"['Egypt', 'Cleopatra', 'Roman Empire']","[-3150, -51, -27]",-35
"[36, 18, 12]",168479,"Octavio secretly sent his consul Curridio to Alexandria in a final attempt to reach peace. In the city, he meets Berenice, a mysterious and beautiful dancer who falls in love. Actually, the dancer is the queen Cleopatra who leads a double life using this name.",1.825,11/27/1959,Legions of the Nile,5,4,['Cleopatra'],[-51],-30
[35],49398,"In antique Rome, a simple pepboy for chars becomes involved in a coup against Cesar. Rahatlocum is a North African Roman colony where Julius Caesar came to spend an expensive holiday. The revolt rumbles among the small people who find a leader in the person of Ben-Hur Marcel.",6.522,10/6/1982,Quarter to Two Before Jesus Christ,6.2,131,['Rome'],[-753],-25
