name,title list,actor_id,gender,character,actor_popularity,movie_id,title
Ron Jeremy,Homo Erectus,42545.0,2.0,Oog,12.689,14641,Homo Erectus
Nick Krause,Homo Erectus,931945.0,2.0,Young Thudnik,1.891,14641,Homo Erectus
Derek Southers,Homo Erectus,1375034.0,0.0,Binadrak's Chief,1.4,14641,Homo Erectus
Steven Strait,"10,000 BC",54815.0,2.0,D’Leh,4.931,7840,"10,000 BC"
Camilla Belle,"10,000 BC",38670.0,1.0,Evolet,5.796,7840,"10,000 BC"
Cliff Curtis,"10,000 BC",7248.0,2.0,Tic-Tic,3.643,7840,"10,000 BC"
Nathanael Baring,"10,000 BC",54805.0,0.0,Baku,1.185,7840,"10,000 BC"
Mo Zinal,"10,000 BC",54806.0,2.0,Ka’Ren,0.6,7840,"10,000 BC"
Affif Ben Badra,"10,000 BC",54807.0,2.0,Warlord,4.602,7840,"10,000 BC"
Mona Hammond,"10,000 BC",54808.0,1.0,Old Mother,1.361,7840,"10,000 BC"
Marco Khan,"10,000 BC",54809.0,2.0,One-Eye,1.034,7840,"10,000 BC"
Reece Ritchie,"10,000 BC",54810.0,2.0,Moha,1.166,7840,"10,000 BC"
Joel Fry,"10,000 BC",54811.0,2.0,Lu’Kibu,10.409,7840,"10,000 BC"
Joel Virgel,"10,000 BC",143647.0,2.0,Nakudu,0.706,7840,"10,000 BC"
Omar Sharif,"10,000 BC, One Night with the King",5004.0,2.0,Narrator (voice),4.699,7840,"10,000 BC"
Kristian Beazley,"10,000 BC",964350.0,2.0,D’Leh’s Father,0.6,7840,"10,000 BC"
Junior Oliphant,"10,000 BC",964351.0,2.0,Tudu,0.6,7840,"10,000 BC"
Louise Tu'u,"10,000 BC",1080044.0,1.0,Baku's Mother,0.6,7840,"10,000 BC"
Jacob Renton,"10,000 BC",1080045.0,2.0,Young D’Leh,0.6,7840,"10,000 BC"
Grayson Hunt Urwin,"10,000 BC",1080046.0,1.0,Young Evolet,0.6,7840,"10,000 BC"
Farouk Valley-Omar,"10,000 BC",953772.0,2.0,High Priest,2.156,7840,"10,000 BC"
Boubacar Babiane,"10,000 BC",1080047.0,2.0,Quina,1.38,7840,"10,000 BC"
Joe Vaz,"10,000 BC",137463.0,2.0,Chief of Guards,1.4,7840,"10,000 BC"
Charles Baloyi,"10,000 BC",1606770.0,2.0,Gatto,0.6,7840,"10,000 BC"
Tim Barlow,"10,000 BC",79875.0,2.0,Pyramid God,0.855,7840,"10,000 BC"
Gabriel Malema,"10,000 BC",35982.0,2.0,Kawu,0.98,7840,"10,000 BC"
Mark Simmons,"10,000 BC",1606771.0,2.0,Sono,0.6,7840,"10,000 BC"
Hannah Westbury,"10,000 BC",1606772.0,1.0,Cala,0.6,7840,"10,000 BC"
Antonio Fisher,"10,000 BC",1606773.0,2.0,Young Priest #1,0.6,7840,"10,000 BC"
Steven Afrikaner,"10,000 BC",1606774.0,2.0,Young Priest #2,0.6,7840,"10,000 BC"
David Dennis,"10,000 BC",107754.0,2.0,Slave Guard #1,0.608,7840,"10,000 BC"
Tony Caprari,"10,000 BC",120084.0,2.0,Slave Guard #2,1.4,7840,"10,000 BC"
Matthew Navin,"10,000 BC",1606784.0,2.0,Young Ka’ren,0.6,7840,"10,000 BC"
Nimiah Rodgers,"10,000 BC",1606785.0,0.0,Young Moha,0.6,7840,"10,000 BC"
Kolby Pistak,"10,000 BC",1606786.0,0.0,Young Lu’Kibu,0.6,7840,"10,000 BC"
Ben Hart,"10,000 BC",1606788.0,2.0,Young Hunter,0.6,7840,"10,000 BC"
Ben Coyle-Larner,"10,000 BC",1606789.0,2.0,Young Hunter,0.84,7840,"10,000 BC"
Joshua Peters,"10,000 BC",1606790.0,2.0,Young Hunter,0.6,7840,"10,000 BC"
Heberth Somaeb,"10,000 BC",1606791.0,2.0,River Tribe Chief,0.6,7840,"10,000 BC"
Sadrag Nakale,"10,000 BC",1606792.0,0.0,Old Hunter,0.6,7840,"10,000 BC"
Mykhail Cohen,"10,000 BC",1606793.0,0.0,Young Child,0.6,7840,"10,000 BC"
Janine Manuel,"10,000 BC",1606794.0,0.0,Young Child,0.6,7840,"10,000 BC"
Kabelo Murray,"10,000 BC",1606795.0,0.0,Young Child,0.6,7840,"10,000 BC"
Andrew Stehlin,"10,000 BC",1200415.0,2.0,Mammoth Hunter (uncredited),0.731,7840,"10,000 BC"
Suri van Sornsen,"10,000 BC",1606796.0,1.0,Captured Mammoth Villager (uncredited),0.6,7840,"10,000 BC"
Victor Webster,The Scorpion King 3: Battle for Redemption,1215144.0,2.0,Mathayus,4.625,78049,The Scorpion King 3: Battle for Redemption
Bostin Christopher,The Scorpion King 3: Battle for Redemption,102996.0,2.0,Olaf,1.62,78049,The Scorpion King 3: Battle for Redemption
Temuera Morrison,The Scorpion King 3: Battle for Redemption,7242.0,2.0,Ramusan,9.299,78049,The Scorpion King 3: Battle for Redemption
Krystal Vee,The Scorpion King 3: Battle for Redemption,553565.0,1.0,Silda,2.942,78049,The Scorpion King 3: Battle for Redemption
Selina Lo,The Scorpion King 3: Battle for Redemption,115500.0,1.0,Tsukai,2.397,78049,The Scorpion King 3: Battle for Redemption
Ron Perlman,"Quest for Fire, The Scorpion King 3: Battle for Redemption",2372.0,2.0,Horus,12.485,78049,The Scorpion King 3: Battle for Redemption
Kimbo Slice,The Scorpion King 3: Battle for Redemption,78456.0,2.0,Zulu Kondo,1.433,78049,The Scorpion King 3: Battle for Redemption
Dave Bautista,The Scorpion King 3: Battle for Redemption,543530.0,2.0,Argomael,17.29,78049,The Scorpion King 3: Battle for Redemption
Billy Zane,The Scorpion King 3: Battle for Redemption,1954.0,2.0,Talus,13.547,78049,The Scorpion King 3: Battle for Redemption
Johann Helf,The Scorpion King 3: Battle for Redemption,205888.0,2.0,Hathor,0.6,78049,The Scorpion King 3: Battle for Redemption
Geoffrey Giuliano,The Scorpion King 3: Battle for Redemption,94381.0,2.0,Siris,1.02,78049,The Scorpion King 3: Battle for Redemption
Tanapol Chuksrida,The Scorpion King 3: Battle for Redemption,94387.0,2.0,Ramusan Guard (as Tanapon Chuksrida),1.885,78049,The Scorpion King 3: Battle for Redemption
J.D. Hall,The Scorpion King 3: Battle for Redemption,154233.0,2.0,Narrator (voice),1.535,78049,The Scorpion King 3: Battle for Redemption
Stephane Lambert,The Scorpion King 3: Battle for Redemption,1272268.0,0.0,Horus's Messenger,0.6,78049,The Scorpion King 3: Battle for Redemption
Damian Mavis,The Scorpion King 3: Battle for Redemption,1290458.0,0.0,Talus Soldier,0.83,78049,The Scorpion King 3: Battle for Redemption
Jason Pace,The Scorpion King 3: Battle for Redemption,1231272.0,2.0,Rohtah,0.6,78049,The Scorpion King 3: Battle for Redemption
Dean Alexandrou,The Scorpion King 3: Battle for Redemption,94384.0,2.0,Head Assassin (uncredited),0.6,78049,The Scorpion King 3: Battle for Redemption
Bruce Blain,The Scorpion King 3: Battle for Redemption,1285611.0,0.0,Roman Soldier (uncredited),1.052,78049,The Scorpion King 3: Battle for Redemption
Josiah D. Lee,The Scorpion King 3: Battle for Redemption,64374.0,2.0,"Ninja (voice, uncredited)",1.094,78049,The Scorpion King 3: Battle for Redemption
Kelly Hu,The Scorpion King 3: Battle for Redemption,11024.0,1.0,The Sorceress (uncredited),8.695,78049,The Scorpion King 3: Battle for Redemption
Jean Simmons,"The Egyptian, Spartacus, Caesar and Cleopatra",14500.0,1.0,Merit,8.409,24973,The Egyptian
Victor Mature,"The Egyptian, Samson and Delilah, Hannibal",30290.0,2.0,Horemheb,6.724,24973,The Egyptian
Gene Tierney,The Egyptian,20124.0,1.0,Baketamon,4.398,24973,The Egyptian
Peter Ustinov,"The Egyptian, Barefoot in Athens, Spartacus",14501.0,2.0,Kaptah,5.12,24973,The Egyptian
Edmund Purdom,"The Egyptian, Nefertiti, Queen of the Nile, The Loves of Salammbo",26155.0,2.0,Sinuhe,2.599,24973,The Egyptian
Michael Wilding,The Egyptian,20392.0,2.0,Akhnaton,0.84,24973,The Egyptian
Bella Darvi,The Egyptian,92930.0,1.0,Nefer,1.4,24973,The Egyptian
Judith Evelyn,The Egyptian,7686.0,1.0,Taia,1.4,24973,The Egyptian
Henry Daniell,The Egyptian,10924.0,2.0,Mekere,1.312,24973,The Egyptian
John Carradine,"The Egyptian, The Ten Commandments",8516.0,2.0,Grave Robber,4.169,24973,The Egyptian
Carl Benton Reid,The Egyptian,81180.0,2.0,Senmut,2.212,24973,The Egyptian
Tommy Rettig,The Egyptian,20099.0,2.0,Thoth,1.62,24973,The Egyptian
Anitra Stevens,The Egyptian,1382707.0,1.0,Queen Nefertiti,0.6,24973,The Egyptian
Michael Ansara,"The Egyptian, The Ten Commandments, Slaves of Babylon, Serpent of the Nile",16074.0,2.0,Hittite Commander (uncredited),3.423,24973,The Egyptian
Henry Corden,"The Egyptian, The Ten Commandments",106102.0,2.0,Hittite Officer (uncredited),1.129,24973,The Egyptian
Mady Comfort,The Egyptian,1747651.0,0.0,Egyptian Female,0.6,24973,The Egyptian
Richard Allan,The Egyptian,38238.0,2.0,Student in School of Life,0.98,24973,The Egyptian
Sharon Jan Altman,The Egyptian,1747652.0,1.0,Princess,0.6,24973,The Egyptian
Rama Bai,The Egyptian,1671997.0,0.0,Citizen,0.6,24973,The Egyptian
Don Bender,The Egyptian,1747653.0,0.0,Boy,0.6,24973,The Egyptian
Don Blackman,The Egyptian,976235.0,2.0,Nubian Prince,0.6,24973,The Egyptian
Geraldine Bogdonovich,The Egyptian,1747654.0,1.0,Tavern Waitress,0.6,24973,The Egyptian
Brad Brown,The Egyptian,1747655.0,0.0,Palace Soldier,0.6,24973,The Egyptian
George Bruggeman,The Egyptian,1421080.0,2.0,Soldier,0.608,24973,The Egyptian
George Chester,The Egyptian,1747656.0,0.0,Nubian Guard,0.6,24973,The Egyptian
Angela Clarke,The Egyptian,89215.0,1.0,Kipa,1.4,24973,The Egyptian
Edmund Cobb,The Egyptian,43836.0,2.0,Patient,1.138,24973,The Egyptian
Karl 'Killer' Davis,The Egyptian,1135034.0,0.0,Libyan Guard,0.6,24973,The Egyptian
Carmen De Lavallade,The Egyptian,96735.0,1.0,Egyptian Dancer,0.6,24973,The Egyptian
Alvin Burke Deer,The Egyptian,1747657.0,0.0,Boy,0.6,24973,The Egyptian
James Dime,The Egyptian,1152705.0,2.0,Soldier,1.62,24973,The Egyptian
Franco Fantasia,"The Egyptian, The Giant of Marathon",33820.0,2.0,Hittite Officer,1.22,24973,The Egyptian
Dede Gainor,The Egyptian,1747658.0,1.0,Princess,0.6,24973,The Egyptian
Aurello Galli,The Egyptian,1747659.0,0.0,Boy,0.6,24973,The Egyptian
John George,The Egyptian,97999.0,2.0,Man in Street (uncredited),1.4,24973,The Egyptian
Mimi Gibson,"The Egyptian, The Ten Commandments",16762.0,1.0,Princess,1.4,24973,The Egyptian
Michael Granger,The Egyptian,83912.0,2.0,Officer,1.166,24973,The Egyptian
Yeghishe Harout,The Egyptian,1747660.0,0.0,Syrian at Nefer's,0.6,24973,The Egyptian
Lars Hensen,"The Egyptian, Spartacus",1507184.0,2.0,Citizen,0.84,24973,The Egyptian
Kay Koury,The Egyptian,1747661.0,1.0,Citizen,0.6,24973,The Egyptian
Paul Kruger,"The Egyptian, Spartacus",119486.0,2.0,High Priest,1.018,24973,The Egyptian
Ian MacDonald,The Egyptian,4074.0,2.0,Ship's Captain,1.165,24973,The Egyptian
Tyler MacDuff,The Egyptian,111488.0,2.0,Cadet,0.6,24973,The Egyptian
Tiger Joe Marsh,The Egyptian,1747678.0,2.0,Libyan Guard,0.6,24973,The Egyptian
Donna Martell,The Egyptian,94991.0,1.0,Lady in Waiting,1.4,24973,The Egyptian
Mike Mazurki,"The Egyptian, Samson and Delilah",84229.0,2.0,"Foreman, House of Death",2.727,24973,The Egyptian
George Melford,"The Egyptian, The Ten Commandments",931194.0,2.0,Priest,0.694,24973,The Egyptian
John Mooney,The Egyptian,1155980.0,2.0,Officer,0.6,24973,The Egyptian
Wilma Reid,The Egyptian,1747680.0,1.0,Nefer's Maid,0.6,24973,The Egyptian
Peter Reynolds,The Egyptian,1747681.0,2.0,Sinuhe - Age 10,0.6,24973,The Egyptian
John Roy,The Egyptian,1462194.0,2.0,Servant,0.98,24973,The Egyptian
Lawrence Ryle,The Egyptian,106505.0,0.0,Priest,0.6,24973,The Egyptian
Paul Salata,The Egyptian,1024978.0,0.0,Egyptian Official,0.6,24973,The Egyptian
Harry Shearer,The Egyptian,6008.0,2.0,Boy,4.759,24973,The Egyptian
Ray Spiker,The Egyptian,30515.0,0.0,Soldier,0.84,24973,The Egyptian
Saye Sumi,The Egyptian,1747682.0,1.0,Nefer's Maid,0.6,24973,The Egyptian
Harry Thompson,The Egyptian,1747686.0,0.0,Nubian,0.6,24973,The Egyptian
Alice Tissot,The Egyptian,553634.0,1.0,Old Woman Near the House of Death,0.828,24973,The Egyptian
Joan Winfield,The Egyptian,133459.0,1.0,Governess,0.6,24973,The Egyptian
Jeanne Crain,"Nefertiti, Queen of the Nile",82170.0,1.0,Nefertiti,0.985,77971,"Nefertiti, Queen of the Nile"
Vincent Price,"Nefertiti, Queen of the Nile, The Ten Commandments",1905.0,2.0,Benakon,3.996,77971,"Nefertiti, Queen of the Nile"
Edmund Purdom,"The Egyptian, Nefertiti, Queen of the Nile, The Loves of Salammbo",26155.0,2.0,Tumos,2.599,77971,"Nefertiti, Queen of the Nile"
Amedeo Nazzari,"Nefertiti, Queen of the Nile",31989.0,2.0,Amenophis IV,1.528,77971,"Nefertiti, Queen of the Nile"
Liana Orfei,"Nefertiti, Queen of the Nile",32378.0,1.0,Merith,1.625,77971,"Nefertiti, Queen of the Nile"
Carlo D'Angelo,"Nefertiti, Queen of the Nile",56729.0,0.0,Seper,1.27,77971,"Nefertiti, Queen of the Nile"
Alberto Farnese,"Nefertiti, Queen of the Nile",262301.0,2.0,Dakim,0.611,77971,"Nefertiti, Queen of the Nile"
Clelia Matania,"Nefertiti, Queen of the Nile",14147.0,1.0,Penaba,0.84,77971,"Nefertiti, Queen of the Nile"
Giulio Marchetti,"Nefertiti, Queen of the Nile",52663.0,2.0,Meck,0.6,77971,"Nefertiti, Queen of the Nile"
Piero Palermini,"Nefertiti, Queen of the Nile, A Queen for Caesar",98787.0,2.0,Nagor,0.98,77971,"Nefertiti, Queen of the Nile"
Umberto Raho,"Nefertiti, Queen of the Nile",25816.0,2.0,"Zeton, Priest",1.4,77971,"Nefertiti, Queen of the Nile"
Raf Baldassarre,"Nefertiti, Queen of the Nile, The Loves of Salammbo, Slave of Rome",50782.0,2.0,Mareb,0.828,77971,"Nefertiti, Queen of the Nile"
Anton Lesser,"Troilus & Cressida, Moses",27397.0,2.0,Troilus,3.427,119913,Troilus & Cressida
Suzanne Burden,Troilus & Cressida,1220058.0,0.0,Cressida,0.6,119913,Troilus & Cressida
Charles Gray,Troilus & Cressida,10074.0,2.0,Pandarus,2.499,119913,Troilus & Cressida
Benjamin Whitrow,Troilus & Cressida,84927.0,2.0,Ulysses,1.588,119913,Troilus & Cressida
John Shrapnel,"Troilus & Cressida, Troy",940.0,2.0,Hector,2.268,119913,Troilus & Cressida
Tony Steedman,Troilus & Cressida,18360.0,2.0,Aeneas,2.503,119913,Troilus & Cressida
Max Harvey,Troilus & Cressida,1832277.0,2.0,Alexander,0.98,119913,Troilus & Cressida
Geoffrey Chater,Troilus & Cressida,153196.0,2.0,Nestor,0.6,119913,Troilus & Cressida
Bernard Brown,Troilus & Cressida,1855466.0,2.0,Menelaus,0.6,119913,Troilus & Cressida
Kenneth Haigh,"Troilus & Cressida, Cleopatra",53817.0,2.0,Achilles,1.22,119913,Troilus & Cressida
Jack Birkett,Troilus & Cressida,1118426.0,2.0,Thersites,1.008,119913,Troilus & Cressida
Vernon Dobtcheff,Troilus & Cressida,649.0,2.0,Agamemnon,4.182,119913,Troilus & Cressida
Peter Walmsley,Troilus & Cressida,1855471.0,0.0,Servant to Troilus,0.6,119913,Troilus & Cressida
Simon Cutter,Troilus & Cressida,1855472.0,0.0,Patrocles,0.6,119913,Troilus & Cressida
Esmond Knight,"Troilus & Cressida, Antony & Cleopatra",56875.0,2.0,Priam,1.267,119913,Troilus & Cressida
Anthony Pedley,"Troilus & Cressida, Antony & Cleopatra",26672.0,0.0,Ajax,0.6,119913,Troilus & Cressida
Elayne Sharling,"Troilus & Cressida, Pericles, Prince of Tyre",1855476.0,0.0,Cassandra,0.6,119913,Troilus & Cressida
Paul Moriarty,Troilus & Cressida,1229473.0,2.0,Diomedes,0.98,119913,Troilus & Cressida
Ann Pennington,Troilus & Cressida,1242021.0,0.0,Helen,0.6,119913,Troilus & Cressida
Peter Whitbread,Troilus & Cressida,1221504.0,0.0,Calchas,0.6,119913,Troilus & Cressida
David Kinsey,Troilus & Cressida,1583248.0,0.0,Servant to Paris,0.98,119913,Troilus & Cressida
Merelina Kendall,Troilus & Cressida,1222024.0,1.0,Andromache,0.6,119913,Troilus & Cressida
Cornelius Garrett,Troilus & Cressida,1356275.0,0.0,Margarelon,0.6,119913,Troilus & Cressida
Tony Portacio,Troilus & Cressida,1229038.0,0.0,Helenus,0.6,119913,Troilus & Cressida
Peter J. Cassell,Troilus & Cressida,1100770.0,0.0,Deiphobus,0.6,119913,Troilus & Cressida
Harry Fielder,Troilus & Cressida,202402.0,2.0,Fighting Man,0.98,119913,Troilus & Cressida
Ben Kingsley,Moses,2282.0,2.0,Moses,9.176,2719,Moses
Frank Langella,Moses,8924.0,2.0,Pharao Mernefta,3.871,2719,Moses
Christopher Lee,"Moses, Alexander the Great",113.0,2.0,Pharao Ramses,8.682,2719,Moses
Anna Galiena,Moses,27391.0,1.0,Ptira,1.401,2719,Moses
Anita Zagaria,Moses,27394.0,1.0,Jochebet,1.788,2719,Moses
Enrico Lo Verso,Moses,27392.0,2.0,Josua,1.113,2719,Moses
Philippe Leroy,Moses,25333.0,2.0,Tuntmin,1.96,2719,Moses
David Suchet,"Moses, Solomon",20277.0,2.0,Aaron,5.549,2719,Moses
Geraldine McEwan,Moses,8326.0,1.0,Mirjam,1.651,2719,Moses
Maurice Roëves,Moses,54.0,2.0,Zerak,2.03,2719,Moses
Anthony Higgins,Moses,660.0,2.0,Korah,2.714,2719,Moses
Dudley Sutton,Moses,27393.0,2.0,Hoherpriester,1.386,2719,Moses
Philip Stone,Moses,694.0,2.0,Jitro,2.016,2719,Moses
Federico Pacifici,Moses,27395.0,2.0,Hur,1.094,2719,Moses
Sônia Braga,Moses,27396.0,1.0,Zippora,2.283,2719,Moses
Anton Lesser,"Troilus & Cressida, Moses",27397.0,2.0,Eliav,3.427,2719,Moses
Urbano Barberini,Moses,27398.0,2.0,Nachbi,1.4,2719,Moses
Paolo Calabresi,Moses,27399.0,2.0,Palti,1.788,2719,Moses
Riccardo Salerno,Moses,27400.0,2.0,Kaleb,0.98,2719,Moses
Bruno Bilotta,Moses,27401.0,2.0,Aufseher,1.258,2719,Moses
Lawrence Blight,Moses,27402.0,2.0,Moses als Kind,0.6,2719,Moses
Christian Ashton,Moses,27403.0,2.0,Pharao Mernefta als Kind,0.6,2719,Moses
Christian Catuogno,Moses,27404.0,2.0,Moses als Heranwachsender,0.6,2719,Moses
Daniel Wilson,Moses,27405.0,2.0,Pharao Mernefta als Heranwachsender,0.6,2719,Moses
Florian Fitz,Moses,27406.0,2.0,Ehemann,1.55,2719,Moses
Soumaya Harris,Moses,27407.0,0.0,Ai,0.6,2719,Moses
Mark Lewis,Moses,27408.0,2.0,Wache,0.98,2719,Moses
Bruce Lidington,Moses,24732.0,2.0,Mann in Kadesch,0.828,2719,Moses
Loris Loddi,"Moses, Goliath and the Sins of Babylon",7196.0,2.0,Kampfsportlehrer,0.84,2719,Moses
Jacqueline Lustig,Moses,27409.0,1.0,Ptiras Dienerin,1.102,2719,Moses
Justine Midda,Moses,27410.0,0.0,Batim,0.6,2719,Moses
Stefania Montorsi,Moses,27411.0,1.0,Mutter,1.22,2719,Moses
Benito Pacifico,Moses,27412.0,2.0,Mann # 1,0.972,2719,Moses
Franco Maria Salamon,Moses,15911.0,2.0,Mann # 2,2.04,2719,Moses
Claudio Pacifico,Moses,15913.0,0.0,Bruder,0.636,2719,Moses
Vincent Riotta,Moses,26669.0,2.0,Midan,3.053,2719,Moses
Imane Soussi,Moses,27413.0,0.0,Mirjam als Kind,0.6,2719,Moses
Sarah Thomas,Moses,27414.0,1.0,Hebamme,1.4,2719,Moses
Amy Werba,Moses,27415.0,1.0,Pharao Merneftas Frau,0.6,2719,Moses
Robert Willox,Moses,27416.0,0.0,Feldherr,0.6,2719,Moses
Timur Yusef,Moses,24617.0,2.0,Junge am Berg Sinai,0.608,2719,Moses
Aziz Janah,"Moses, Solomon",27417.0,0.0,Mann am Roten Meer,0.6,2719,Moses
Katharine Hepburn,The Trojan Women,6598.0,1.0,Hecuba,2.073,47446,The Trojan Women
Vanessa Redgrave,The Trojan Women,13333.0,1.0,Andromache,8.907,47446,The Trojan Women
Geneviève Bujold,The Trojan Women,35341.0,1.0,Cassandra,4.341,47446,The Trojan Women
Irene Papas,"The Trojan Women, Plato's Banquet",18847.0,1.0,Helen,2.403,47446,The Trojan Women
Patrick Magee,The Trojan Women,2264.0,2.0,Menelaus,1.932,47446,The Trojan Women
Brian Blessed,The Trojan Women,8318.0,2.0,Talthybius,3.889,47446,The Trojan Women
Alberto Sanz,The Trojan Women,2334179.0,0.0,Astyanax,0.6,47446,The Trojan Women
Pauline Letts,The Trojan Women,1628643.0,1.0,Woman,0.6,47446,The Trojan Women
Rosalind Shanks,The Trojan Women,1298084.0,0.0,Woman,0.828,47446,The Trojan Women
Pat Beckett,The Trojan Women,1524887.0,0.0,Woman (as Pat Becket),0.6,47446,The Trojan Women
Anna Bentinck,The Trojan Women,1276663.0,0.0,Woman,0.6,47446,The Trojan Women
Elsie Pittas,The Trojan Women,2334180.0,0.0,Woman (as Ersie Pittas),0.6,47446,The Trojan Women
Esmeralda Adam García,The Trojan Women,1169601.0,0.0,Woman (as Esmeralda Adam),0.6,47446,The Trojan Women
Esperanza Alonso,The Trojan Women,1472205.0,0.0,Woman,0.6,47446,The Trojan Women
María García Alonso,The Trojan Women,2334181.0,0.0,Woman (as Maria G. Alonso),0.6,47446,The Trojan Women
Nilda Álvarez,The Trojan Women,2334182.0,0.0,Woman (as Nilda Alvarez),0.6,47446,The Trojan Women
Adela Armengol,The Trojan Women,2334184.0,0.0,Woman,0.6,47446,The Trojan Women
Victoria Ayllón,The Trojan Women,2024087.0,0.0,Woman,0.6,47446,The Trojan Women
Gloria Berrocal,The Trojan Women,1691397.0,1.0,Woman,0.6,47446,The Trojan Women
Elizabeth Billencourt,The Trojan Women,2334185.0,0.0,Woman (as E. Billencourt),0.6,47446,The Trojan Women
Maria Borge,The Trojan Women,2187741.0,0.0,Woman,0.6,47446,The Trojan Women
Margarita Calahorra,The Trojan Women,1007624.0,1.0,Woman (as M. Calahora),1.38,47446,The Trojan Women
Elena Castillo,The Trojan Women,2334186.0,0.0,Woman,0.6,47446,The Trojan Women
Renee Eber,The Trojan Women,2334187.0,0.0,Woman,0.6,47446,The Trojan Women
Ana María Espejo,The Trojan Women,2007128.0,0.0,Woman (as Anna M. Espejo),0.6,47446,The Trojan Women
Katie Ellyson,The Trojan Women,2334188.0,0.0,Woman,0.6,47446,The Trojan Women
María Jesús Hoyos,The Trojan Women,1092032.0,1.0,Woman (as Maria J. Hoyos),2.579,47446,The Trojan Women
Gwen Kocsis,The Trojan Women,2334189.0,0.0,Woman,0.6,47446,The Trojan Women
Concha Leza,The Trojan Women,1315599.0,0.0,Woman (as Conchita Leza),0.98,47446,The Trojan Women
Maureen Mallall,The Trojan Women,2334190.0,0.0,Woman,0.6,47446,The Trojan Women
Margarita Matta,The Trojan Women,1678275.0,0.0,Woman,0.6,47446,The Trojan Women
Ivi Mavridi,The Trojan Women,2334191.0,0.0,Woman,0.6,47446,The Trojan Women
Mirta Miller,The Trojan Women,46426.0,1.0,Woman,0.694,47446,The Trojan Women
Livia Mitchell,The Trojan Women,2334192.0,0.0,Woman,0.6,47446,The Trojan Women
Conchita Morales,The Trojan Women,1500259.0,0.0,Woman,0.6,47446,The Trojan Women
Emilia Pittas,The Trojan Women,2334193.0,0.0,Woman,0.6,47446,The Trojan Women
Catherine Rabone,The Trojan Women,2334194.0,0.0,Woman,0.6,47446,The Trojan Women
Yvette Rees,The Trojan Women,119742.0,0.0,Woman,0.6,47446,The Trojan Women
Clara Sanchiz,The Trojan Women,2334195.0,0.0,Woman,0.6,47446,The Trojan Women
Carmen Segarra,The Trojan Women,1331707.0,1.0,Woman,0.6,47446,The Trojan Women
Maria Farantouri,The Trojan Women,2334196.0,1.0,Singer,0.6,47446,The Trojan Women
