studio_name,title list,studio_id,origin_country,movie_id,title
Galatea Film,"The Giant of Marathon, Esther and the King",12240.0,IT,168408,Esther and the King
Titanus,"Duel of the Titans, The Giant of Marathon, Esther and the King, The Slave",641.0,IT,168408,Esther and the King
20th Century Fox,"Quest for Fire, The Egyptian, David and Bathsheba, Esther and the King, Cleopatra",25.0,US,168408,Esther and the King
Gener8Xion Entertainment,One Night with the King,3957.0,,15005,One Night with the King
BBC,"Pericles, Prince of Tyre, Adventure Story, Antony & Cleopatra",3324.0,GB,119925,"Pericles, Prince of Tyre"
Time-Life Television Productions,"Pericles, Prince of Tyre, Antony & Cleopatra",4245.0,US,119925,"Pericles, Prince of Tyre"
Art Films,Μπουμ Ταρατατζούμ,8438.0,GR,178184,Μπουμ Ταρατατζούμ
France 3,Plato's Banquet,11244.0,FR,138797,Plato's Banquet
La Sept Cinéma,Plato's Banquet,16366.0,FR,138797,Plato's Banquet
FIT Productions,Plato's Banquet,16026.0,,138797,Plato's Banquet
Gruppo Bema,Plato's Banquet,6126.0,,138797,Plato's Banquet
BBC,"Pericles, Prince of Tyre, Adventure Story, Antony & Cleopatra",3324.0,GB,458191,Adventure Story
Rossen Films,Alexander the Great,22820.0,,42668,Alexander the Great
C.B. Films S.A.,Alexander the Great,2101.0,,42668,Alexander the Great
United Artists,"Solomon and Sheba, Alexander the Great",60.0,US,42668,Alexander the Great
Produzioni Atlas Consorziate,The Colossus of Rhodes,4745.0,IT,43020,The Colossus of Rhodes
Procusa,The Colossus of Rhodes,8015.0,ES,43020,The Colossus of Rhodes
Comptoir Français de Productions Cinématographiques (CFPC),"The Colossus of Rhodes, Legions of the Nile",32276.0,FR,43020,The Colossus of Rhodes
CTI (Cinema Television International),The Colossus of Rhodes,34126.0,,43020,The Colossus of Rhodes
Cineproduzioni Associate,The Colossus of Rhodes,89390.0,IT,43020,The Colossus of Rhodes
Metro-Goldwyn-Mayer,"The Giant of Marathon, The Colossus of Rhodes, Jupiter's Darling, The Slave",21.0,US,43020,The Colossus of Rhodes
Metro-Goldwyn-Mayer,"The Giant of Marathon, The Colossus of Rhodes, Jupiter's Darling, The Slave",21.0,US,113743,Jupiter's Darling
Liber Film,Hannibal,58917.0,,169818,Hannibal
Ultra Film,Scipio the African,11994.0,,273868,Scipio the African
Cinerama Filmgesellschaft MBH,Scipio the African,76898.0,,273868,Scipio the African
Produzione Gallone,Carthage in Flames,8023.0,,207234,Carthage in Flames
Lux Film,Carthage in Flames,1679.0,IT,207234,Carthage in Flames
Lux Compagnie Cinématographique de France,"The Giant of Marathon, Carthage in Flames",12243.0,FR,207234,Carthage in Flames
Bryna Productions,Spartacus,611.0,US,967,Spartacus
Atlantica Cinematografica Produzione Films,Slave of Rome,19589.0,IT,284016,Slave of Rome
Titanus,"Duel of the Titans, The Giant of Marathon, Esther and the King, The Slave",641.0,IT,208835,The Slave
Metro-Goldwyn-Mayer,"The Giant of Marathon, The Colossus of Rhodes, Jupiter's Darling, The Slave",21.0,US,208835,The Slave
Gabriel Pascal Productions,Caesar and Cleopatra,14028.0,GB,31561,Caesar and Cleopatra
Independent Producers,Caesar and Cleopatra,14029.0,,31561,Caesar and Cleopatra
C.F.P.C.,A Queen for Caesar,61794.0,,330627,A Queen for Caesar
Filmes Cinematografica,A Queen for Caesar,6397.0,IT,330627,A Queen for Caesar
Global Pictures,The Notorious Cleopatra,1978.0,,112424,The Notorious Cleopatra
Boxoffice International Pictures (BIP),The Notorious Cleopatra,15346.0,,112424,The Notorious Cleopatra
2T Produzione Film,The Erotic Dreams of Cleopatra,4645.0,,326088,The Erotic Dreams of Cleopatra
Naja Films,The Erotic Dreams of Cleopatra,32209.0,,326088,The Erotic Dreams of Cleopatra
National Theatre Live,"National Theatre Live: Julius Caesar, National Theatre Live: Antony & Cleopatra",67511.0,GB,465616,National Theatre Live: Julius Caesar
National Theatre,"National Theatre Live: Julius Caesar, National Theatre Live: Antony & Cleopatra",16355.0,GB,465616,National Theatre Live: Julius Caesar
Bridge Theatre,National Theatre Live: Julius Caesar,156155.0,GB,465616,National Theatre Live: Julius Caesar
Orange Studio,Brutus vs Cesar,15433.0,FR,613370,Brutus vs Cesar
paiva films,Brutus vs Cesar,99596.0,,613370,Brutus vs Cesar
Centaure,Brutus vs Cesar,137850.0,,613370,Brutus vs Cesar
Anglo-Amalgamated Film Distributors,Carry On Cleo,10329.0,,5066,Carry On Cleo
National Theatre Live,"National Theatre Live: Julius Caesar, National Theatre Live: Antony & Cleopatra",67511.0,GB,533575,National Theatre Live: Antony & Cleopatra
National Theatre,"National Theatre Live: Julius Caesar, National Theatre Live: Antony & Cleopatra",16355.0,GB,533575,National Theatre Live: Antony & Cleopatra
MCL Films S.A.,Cleopatra,11451.0,,8095,Cleopatra
Walwa Films S.A.,Cleopatra,11452.0,,8095,Cleopatra
20th Century Fox,"Quest for Fire, The Egyptian, David and Bathsheba, Esther and the King, Cleopatra",25.0,US,8095,Cleopatra
Columbia Pictures,"Slaves of Babylon, Serpent of the Nile",5.0,US,114771,Serpent of the Nile
Sam Katzman Productions,Serpent of the Nile,121016.0,,114771,Serpent of the Nile
Avala Film,In the Shadow of the Eagles,5940.0,RS,270673,In the Shadow of the Eagles
Debora Film,In the Shadow of the Eagles,14126.0,,270673,In the Shadow of the Eagles
Time-Life Television Productions,"Pericles, Prince of Tyre, Antony & Cleopatra",4245.0,US,106385,Antony & Cleopatra
BBC,"Pericles, Prince of Tyre, Adventure Story, Antony & Cleopatra",3324.0,GB,106385,Antony & Cleopatra
Comptoir Français de Productions Cinématographiques (CFPC),"The Colossus of Rhodes, Legions of the Nile",32276.0,FR,168479,Legions of the Nile
Alexandra Produzioni Cinematografiche,Legions of the Nile,60063.0,,168479,Legions of the Nile
Atenea Films,Legions of the Nile,60064.0,,168479,Legions of the Nile
Carthago Films,Quarter to Two Before Jesus Christ,20395.0,IT,49398,Quarter to Two Before Jesus Christ
Renn Productions,Quarter to Two Before Jesus Christ,82.0,FR,49398,Quarter to Two Before Jesus Christ
