,genre_ids,id,overview,popularity,release_date,title,vote_average,vote_count,keyword,est_date
15,"[36, 10749]",29996,"Under the rule of King David, Israel is united and prosperous although surrounded by enemies including Egypt and its allies. The aging King David favors his younger son, Solomon, as his successor, but David's  elder son Prince Adonijah, a warrior, declares himself King. When David learns of this, he publicly announces Solomon to be his successor. Adonijah and Joab, his general, withdraw in rage. Israel prospers under King Solomon's wise and benevolent rule and is seen as a threat to more tyrannical monarchs in the region. The Pharaoh of Egypt agrees to cede a Red Sea port to the Queen of Sheba in a plot to undermine Solomon's rule. Sheba is to seduce Solomon and introduce Sheban pagan worship into Jerusalem. Meanwhile, Prince Adonijah, now banished, also conspires with Pharaoh and is given an army to defeat Solomon. The film is a highly fictionalized dramatization of events depicted in The Bible -- First Kings chapter 10 and Second Chronicles chapter 9.",16.486,1959-12-25,Solomon and Sheba,6.5,52,"['Egypt', 'Jerusalem', 'Solomon']","[-3150, -2800, -970]"
16,"[18, 28, 12, 10749, 10752]",207234,"Carthage in Flames is a 1960 Italian historical drama film directed by Carmine Gallone and starring Pierre Brasseur, Daniel Gélin and Anne Heywood. The film depicts the last of the Punic Wars between the Roman Republic and Carthage.",2.107,1960-01-28,Carthage in Flames,7.0,2,"['Carthage', 'Punic War']","[-814, -218]"
17,[12],228867,"During the 3rd century B.C. a horde of barbarians are hired by the Phoenian city of Carthage to fight against the Roman empire, but when the city's ruler is unable to fulfill the promised payment made to the mercenaries, they attack the African settlement, where Salammbô --the king's daughter and high priestess of goddess Tanit- tries to settle the matter when the Barbarian leader who has fallen for her steals the sacred veil of Carthage from the temple, without taking into account the evil schemes of a powerful member of the council of wise men.",1.023,1960-03-24,The Loves of Salammbo,4.0,2,['Carthage'],[-814]
18,[18],168408,"Recently widowed Persian King Ahasuerus wants to marry the beautiful Esther. But Esther is a Jewess, and Haman, the king's evil minister, is spreading hatred against the Jews.  Set in the  4th century B.C., this Biblical epic stars Richard Egan (Demetrius And The Gladiators, A Summer Place) as Ahasuerus and Italian leading man Sergio Fantoni as Haman.  Esther is portrayed by none other than Joan Collins, who would later gain fame as the scheming Alexis Carrington, in the hit TV series Dynasty.  Directed by Raoul Walsh (The Thief of Bagdad, High Sierra, White Heat).  1960 / Running Time: 109 min. / Color",2.518,1960-11-18,Esther and the King,5.9,7,"['Persia', 'Persian', 'Gladiators']","[-550, -550, -264]"
19,"[12, 28, 18, 10749]",206004,"Maciste travels to Egypt, where he leads a revolt against an evil queen. In Son of Samson, Maciste (Mark Forrest) -- scion of the famed muscleman -- travels to the Egyptian city of Tanis to checkmate villainous Queen Smedes (Chelo Alonso), who's persecuting the citizenry.",1.644,1960-11-24,Son of Samson,6.0,8,"['Egypt', 'Samson']","[-3150, -1118]"
20,[12],284016,"During Julius Caesar's invasion of Gallia: The Gauls have broken their treaty with the Romans. Marcus Valerius and his friend are sent to punish them. Antea's father wants to have peace with Rome, having once been there and acknowledging their superior culture, but Lysircus forces a severely anti-Roman politic. When her father is killed by him in treachery, Antea joins the Romans who have to evade into a swamp. She falls in love with Marcus. Will she forsake her people forever?",1.526,1961-02-02,Slave of Rome,4.2,3,['Rome'],[-753]
21,[35],71133,"Antonio goes to Rome to represent his fellow peasants, to request a highway that will be built in their region. But the guy is mastered by 'la dolce vita' and wastes the money entrusted to him for his mission. When Peppino is sent to to find out what happened, he lets himself be trapped by the gentle grip of 'la dolce vita'",3.837,1961-03-23,"Totò, Peppino and... the Sweet Life",6.7,39,['Rome'],[-753]
22,"[18, 12]",164302,"Marching down the Italian peninsula to sack ancient Rome, Etruscan warrior Drusco instead offers to hold back his onslaught if the Romans hand over hostages, including Clelia, the sexy leader of a clan of woman warriors. But before long, intrigue and betrayal unravel the fragile peace. Directors Carlo Ludovico Bragaglia and Vittorio Cottafavi helm this vintage sword-and-sandal epic.",1.06,1961-03-24,Amazons of Rome,5.1,4,['Rome'],[-753]
23,"[36, 18]",458191,The story of Alexander the Great.,0.636,1961-06-12,Adventure Story,6.0,1,['Alexander the Great'],[-356]
24,"[36, 18, 12]",43020,"While on holiday in Rhodes, Athenian war hero Darios becomes involved in two different plots to overthrow the tyrannical king, one from Rhodian patriots and the other from sinister Phoenician agents.",8.021,1961-06-15,The Colossus of Rhodes,6.0,125,['Rhodes'],[-292]
25,"[18, 36]",77971,Chronicles the rise and fall of the woman who eventually became known as Queen Nefertiti.,2.02,1961-09-20,"Nefertiti, Queen of the Nile",5.0,11,['Nefertiti'],[-1370]
26,[12],138519,"An Italian adventure film starring Roger Moore as Romulus in the early days of Rome. His city of thieves is populated entirely by men, and so Romulus is convinced to find some ladies. After finding some in Sabinia, he proceeds to take them to his city and engage them to his men. The Sabines declare war and battle ensues.",1.952,1961-11-15,Romulus and the Sabines,5.8,6,"['Rome', 'Romulus']","[-753, -753]"
27,"[12, 36, 18]",330395,"The Jews of Jerusalem are driven out by their Syrian rulers. They gather their forces, and return to drive out their oppressors.",0.881,1962-04-09,The Old Testament,7.0,1,['Jerusalem'],[-2800]
28,[12],205031,Julius Caesar flees Rome because of a conspiration against him and takes refuge by the king of Bitinia. He finds a woman there and while he escorts her to Rhodes their ship is attacked. Caught by the pirates he asks for help to get back to Rome.,0.924,1962-04-23,Caesar Against the Pirates,4.0,1,"['Rome', 'Rhodes']","[-753, -292]"
29,"[18, 28, 12]",366585,The Sabine tribe battles Romulus in the early days of Rome after Romans seize their women as unwilling brides.,1.076,1962-07-19,The Shame of the Sabine Women,5.2,5,"['Rome', 'Romulus']","[-753, -753]"
30,"[28, 18, 36]",19972,"Essentially true story of how Spartan king Leonidas led an extremely small army of Greek Soldiers (300 of his personal body guards from Sparta) to hold off an invading Persian army now thought to have numbered 250,000.",12.122,1962-08-01,The 300 Spartans,6.3,90,"['Sparta', 'Persia', 'Persian', 'Leonidas']","[-1000, -550, -550, -540]"
31,"[12, 18, 36]",208835,"The decurion Randus holds himself so well in the command of his troops, that Caesar promotes him to centurion. He is subsequently sent to Egypt, to keep Cesar informed on the actions and intentions of co-triumvir Marcus Licinius Crassus - a man too rich, and ambitious, for Caesar's comfort. A fateful sea trip from Egypt to Rome forces Randus in captivity by mercenary troops, and leads a revolt by which he gets freedom for himself, and all the other slaves. Through an amulet he received from his late mother, a man who had fought by Spartacus' side, identifies the young man as Spartacus' and Varinia's son. At first reluctant to accept this story about his origins, Randus will be forced by the circumstances to repeat the feat of his father, twenty years later.",2.778,1962-08-24,The Slave,6.6,6,"['Egypt', 'Sparta', 'Rome']","[-3150, -1000, -753]"
32,"[10752, 12, 36, 18, 10749]",81409,"In the tenth year of the Trojan War, tensions between Achilles and Agamemnon divide the Greek camp while giving hope to the Trojans.",1.13,1962-09-23,Fury of Achilles,6.7,3,['Achilles'],[-1300]
33,"[18, 28, 12]",93492,"Framed for the escape of five gladiators from the arena, the son of one of Sparta's leading citizens is sentenced to the arena as gladiator himself and forced to fight for his life in the Roman Colosseum. Years later he manages to escape and return to Sparta, only to find out that his father has been murdered--even though it was ruled a ""suicide""--and the woman he loves is about to marry the evil king who has usurped the throne. He sets out to find six of his fellow gladiators and return to Sparta to save his woman and place the rightful king on the throne.",3.037,1962-10-11,Gladiators 7,4.3,4,['Sparta'],[-1000]
34,"[18, 36]",68906,"In 221 BC, Qin Shihuangdi conquered the rest of China. Qin's great accomplishments and also his serious faults are showed in this film. Qin adopted autocratic dictatorship and led a luxurious life: abolition of feudalism and the centralization of power in the form of a now-hereditary bureaucracy loyal to himself; burning books and burying scholars; the construction of a sumptuous palace for his concubines and also the Great Wall.",0.632,1962-11-01,The Great Wall,6.0,2,['Great Wall'],[-220]
35,[12],329964,"In order to persuade the Emperor to spare his village, the mighty Ursus is forced to fight the greatest gladiator in Rome in the Roman Arena.",0.6,1962-11-15,The Rebel Gladiators,5.0,1,['Rome'],[-753]
36,"[12, 36]",330627,"Story of the power struggle between Egyptian queen Cleopatra and her brother Ptolemy, and how a common soldier risks his life to serve her.",1.96,1962-12-22,A Queen for Caesar,6.0,1,"['Egypt', 'Cleopatra']","[-3150, -51]"
37,"[18, 36, 10749]",60915,"Semiramis, a powerful and beautiful Assyrian queen, oversees the construction of the luxurious city of Babylon. She falls in love with Kir, a fallen prince turned into a slave who corresponds to her love. But a palace conspiracy will make the two lovers separate and confront each other.",0.6,1963-03-22,I Am Semiramis,7.0,1,"['Babylon', 'Assyria']","[-1700, -1500]"
38,"[18, 36, 10749]",8095,"Determined to hold on to the throne, Cleopatra seduces the Roman emperor Julius Caesar. When Caesar is murdered, she redirects her attentions to his general, Marc Antony, who vows to take power—but Caesar’s successor has other plans.",23.439,1963-06-12,Cleopatra,7.1,487,['Cleopatra'],[-51]
39,[],533220,Adaptation of Euripides: lamentations of the women of Troy after their defeat in war.,0.733,1963-07-01,Las Troyanas,6.0,4,['Troy '],[-3000]
40,[80],161313,MGM remake of Asphalt Jungle set in Egypt.,1.4,1963-07-17,Cairo,5.3,4,['Egypt'],[-3150]
41,[35],81908,"Mark Antony recalled to Rome from Alexandria by Ottavio wants him to marry his sister Octavia, Fulvia lawful wife is kidnapped by replacing it with Totonno brother, who looks like him as a drop of water. Totonno must be but here in Egypt Cleopatra mistreats the point of being sentenced to death but was pardoned Marc Antony returned. Octavius ​​declares war on Egypt, Mark Antony and Totonno dies take his place back at the side of Octavia in Rome served by Cleopatra who made ​​his slave.",4.54,1963-08-14,Toto and Cleopatra,6.9,53,"['Egypt', 'Rome', 'Mark Antony', 'Cleopatra']","[-3150, -753, -83, -51]"
42,[12],330390,The rightful heir to the throne of Babylon leads a slave revolt against an evil ruler.,0.6,1963-08-22,Hero of Babylon,4.0,1,['Babylon'],[-1700]
43,[12],308808,"Andreas, nephew of the abbot of the Monastery of Dionysios, who died eight years previously, arrives at Agion Oros (Mount Athos) with a team of smugglers of antiquities, with the intention of stealing a gold cross set with precious gems, known as the Cross of Alexander the Great. He earns the trust of the meek and hospitable monks. However, a Jewish girl, Anna - whom, while still a baby during the war, her father had entrusted to the care of the hermit Vasileios - continues to pretend she is a young monk. She manages gradually to discover the entire scheme and acts to foil their plot.",1.271,1963-09-01,Brother Anna,6.5,2,['Alexander the Great'],[-356]
44,"[18, 28, 12]",211139,"Fleeing Troy in the wake of its destruction, fair-faced Helen and her faithful protector Arion run into the pharaoh Ramses, who sets his sights on Helen -- and is subsequently murdered. Now it's up to Arion to save Helen from those who wish her dead.",0.75,1964-06-27,The Lion of Thebes,8.8,4,"['Troy ', 'Ramses']","[-3000, -1250]"
45,"[12, 80]",335721,"Shot on location in Egypt, the story unfurls like an Italian Giallo as a group of people meet under strange circumstances, and one by one they are murdered. Gold is missing so you suspect a thief is trying to cover up his crime but that might be too obvious.",1.167,1964-09-04,Secret of the Sphinx,6.0,1,['Egypt'],[-3150]
46,[35],5066,"Two Brits—inventor Hengist Pod, and Horse, a brave and cunning fighter—are captured and enslaved by invading Romans and taken to Rome. One of their first encounters in Rome leaves Hengist being mistaken for a fighter, and gets drafted into the Royal Guard to protect Cleopatra.",6.601,1964-11-08,Carry On Cleo,6.8,61,"['Rome', 'Cleopatra']","[-753, -51]"
47,"[18, 28]",331017,"The ten gladiators are hired to travel to Arbela, a small country on the outskirts of the Roman Empire to learn if Parthia is planning to war with Rome. Upon arriving, the heroes decide to kidnap the beautiful Parthian queen and spirit her to Syria to serve as a hostage.",1.097,1964-11-26,Triumph of the Ten Gladiators,6.0,4,"['Rome', 'Roman Empire']","[-753, -27]"
48,"[12, 35, 36]",238033,The story of Spartacus and 10 other gladiators who rebelled against the bloody coliseum sports. They escape and are faced at every turn by Roman soldiers bent on taking them back to the Coliseum - dead or alive!,1.464,1964-12-23,Spartacus and the Ten Gladiators,6.3,3,['Sparta'],[-1000]
49,[18],371974,"Persian (Iranian) Movie:  When two young poor men save a rich man who has decided to suicide and take care of him, he learns about the other part of the society and poor people's life.",0.6,1965-01-01,Croesus' Treasure,6.0,1,"['Persia', 'Persian']","[-550, -550]"
50,"[12, 36]",270673,"After the death of Octavian, the rebel populations of Illyria and Pannonia pose a grave threat to the Roman Empire. Tribune Marcus Ventidius is sent to subdue the uprising and, after a bitter battle, captures Pannonian chief Magdus together with a number of women hostages. These include Magdus's own daughter Helen, betrothed to cruel Illyrian warrior Batone who has killed many Romans. Julia, daughter of the Roman governor Messala, is in love with Tribune Marcus and, jealous of his sympathy for the barbarian girl, plots an escape by Helen and her father. Pursuing the fugitives, Marcus crosses a mountain pass where Batone has laid a trap.",1.65,1966-02-01,In the Shadow of the Eagles,4.8,4,['Roman Empire'],[-27]
51,"[36, 18]",5040,"Young Pharaoh Ramses XIII clashes with Egypt's clergy over influence on the affairs of the state and its coffers. inexperienced, but quite ambitious pharaoh is putting up a fight against a powerful clan of priests usurping rule over the country.",4.43,1966-03-10,Pharaoh,6.8,49,"['Egypt', 'Ramses']","[-3150, -1250]"
52,[35],469434,"Rena Varlamou (Rena Vlahopoulou), a female queen and a captain, takes up the election campaign of her fiancé Pericles Arapis (Stavros Xenides), a tavern who has founded a party and wants to become a member. He tries to land him in reality, but he does not, and when Pericles is not elected, he takes off. The reason is the sudden death of the uncle of Iakovos Menexes, a political career, who had re-elected a Member on their island. Menexes had included it on his ballot, as a runner-up, and Rena took his place, becoming the first female MP and struggling to make some important works in her place.",1.646,1966-07-21,Η Βουλευτίνα,6.3,6,['Pericles'],[-461]
53,[],383695,"The last few days in the life of Socrates, including his trial.",1.4,1966-11-11,Barefoot in Athens,6.3,3,['Socrates'],[-469]
54,[35],424711,Poppea's Hot Nights (Italian: Le calde notti di Poppea) is a 1969 Italian comedy film set in Ancient Rome. It was written and directed by Guido Malatesta and stars Olga Schoberová (credited as Olinka Berova) and Brad Harris in the main roles.,1.4,1969-01-01,Poppea's Hot Nights,4.5,1,"['Rome', 'Ancient Rome']","[-753, -300]"
55,"[10749, 18]",225812,"Young Catherine Morelli, who lives in Rome, goes to Geneva to find romance at her father's wedding. There she begins a near nymphomaniac pursuit of a mystery man called Gregory.",0.912,1969-11-01,In Search of Gregory,9.3,2,['Rome'],[-753]
56,[18],287873,"Based on Tharwat Abaza's short story, 'Shey min al Khawf' takes place in a rural Egyptian village. Atris' reign of terror on the villagers is put to the test when a public act of defiance is carried out by Fu'ada, the object of his affection.",0.961,1969-11-03,A Taste of Fear,5.5,4,['Egypt'],[-3150]
57,"[10749, 35]",112424,The story of egyptian princess Cleopatra's amorous adventures.,2.205,1970-03-01,The Notorious Cleopatra,4.4,4,['Cleopatra'],[-51]
58,[18],47446,"Hecuba and the other women of Troy rise to find their city in ruins and their cause lost. The city has fallen into Greek hands and it is likely their lot to become slaves of Greek soldiers. A messenger approaches to inform them that the lots have been drawn and each woman will be taken to the man who drew for her. Of particular interest is Hecuba's daughter, Cassandra, who is chosen for the Greek kings bedchamber. She has received word of this news already and is in hiding because she has sworn an oath to the gods that she will live as a virgin. When she is found she has some particularly nasty things to say about treatment at Greek hands.",2.973,1971-05-01,The Trojan Women,6.5,14,['Troy '],[-3000]
59,"[18, 36]",74778,A false accusation leads the philosopher Socrates to trial and condemnation in 4th century BC Athens.,3.086,1971-06-17,Socrates,7.1,28,['Socrates'],[-469]
60,"[36, 35]",273868,"Years after the Second Punic War, Scipio Africanus finds himself generally unliked, despite his defeat of Hannibal Barca. He and his brother, Scipio Asiaticus, are accused by Marcus Porcius Cato of the theft of 500 talents intended for Rome.",2.027,1971-09-09,Scipio the African,7.2,10,"['Rome', 'Hannibal', 'Punic War']","[-753, -218, -218]"
61,"[35, 18]",11035,"A virtually plotless, gaudy, impressionistic portrait of Rome through the eyes of one of its most famous citizens.",8.309,1972-03-16,Roma,7.3,203,['Rome'],[-753]
62,"[35, 10402]",286405,"Based on Aristophanes's play, Athenian women band together to encourage their men to stop fighting the Spartans by withholding sex from them when they return from the front.",1.084,1972-09-25,Lysistrata,6.8,6,['Sparta'],[-1000]
63,[35],178184,"Two itinerant actress, the Vlakometros and Poniridis, arrive at Adira, a city of ancient Greece groaning under the despotic rule of the tyrant Hippias, to give a performance. Because Vlakometros is identical to Hippias, the dissident intellectuals will try to use it to overthrow the tyrant. A series of incredible comedic misunderstandings and unexpected will follow in this brilliant political satire, which had experienced serious problems with censorship when the Junta was.",0.6,1972-09-29,Μπουμ Ταρατατζούμ,4.5,2,['Hippias'],[-510]
64,"[35, 10749]",513968,"This comedy revolves around a man travels from Upper Egypt to Cairo looking for a wife, finally he find her, and tried in different ways to make her pay attention to him.",0.62,1973-01-14,Searching for a Scandal,8.0,1,['Egypt'],[-3150]
65,"[80, 18]",384465,"After being raped by her father, Ingrid moves to Rome and ends up becoming a prostitute. She finds a friend in Claudia, but Claudia's protector is a sadistic thug by the name of Renato who will show her the worst of the what life in the city has to offer.",1.109,1973-02-24,Ingrid on the Road,5.5,4,['Rome'],[-753]
66,[35],290000,"Romulus, a rough but genuine country man, finds, on the occasion of a religious festival, a girl, Rema, already his kindergarten companion. In love with her since then, he welcomes with joy the invitation to follow her to Rome, convinced that the young woman wants to marry him.",0.6,1973-08-31,Il maschio ruspante,5.0,1,"['Rome', 'Romulus']","[-753, -753]"
67,"[18, 53]",5049,"A young woman who comes to Rome and soon drifts into de facto prostitution in order to survive. She meets a misanthropic doctor and would-be poet, but soon falls in love with another man. Murder ensues and she soon finds herself being blackmailed, sexually and financially, by her husband's shady driver, who saw something he shouldn't have.",0.991,1974-01-01,Death Will Have Your Eyes,4.3,4,['Rome'],[-753]
68,"[28, 12]",29039,"Female gladiators fight to the death. Inspired by the story of Spartacus, follow the adventures of a bevy of slave girls who, upon finding themselves thrust into the gladiator ring, mount a vicious rebellion to fight their way to freedom.",5.759,1974-03-13,The Arena,6.2,25,['Sparta'],[-1000]
69,[],338039,"In the last Ice Age, a family of Cro-Magnons battle a tribe of primitive Neanderthals for survival.",0.6,1974-12-11,The Tribe,5.0,2,['Neanderthals'],[-15000]
70,[36],2526,Story of Moses.  Originally a TV Miniseries recut for theaters,3.611,1974-12-22,Moses the Lawgiver,7.0,2,['Moses'],[-1250]
71,[35],412225,"The history of Rome revisited by the group of Bagaglino (Franco, Montesano, Castellacci and Pingitore). Romulus kills Remus, but also manages to get rid of him. The sister continues to bother him in the ghost robes. When Romulus founded Rome and abducted the Sabine, dies, hell, he is received, needless to say, the petulantissimo Remo.",0.635,1976-01-29,Romulus and Remus: The Story of Two Sons of a Wolf,4.0,1,"['Rome', 'Romulus']","[-753, -753]"
72,"[35, 18]",19413,"Giacinto lives with his wife, their ten children and various other family members in a shack on the hills of Rome. Some time ago he has lost his left eye while at work, and got a consistent sum of money from the insurance company, which he keeps hidden from the rest of the family. His whole life is now based on defending the money he sees as his own, while the rest of the family tries to kill him.",8.352,1976-09-23,"Ugly, Dirty and Bad",7.6,203,['Rome'],[-753]
73,[18],135630,"Abraham, an old man, has a fruit garden in Jerusalem that is threatened by a number of people who want to buy him out or chase him off. One day, the old man finds a mute young woman (Melanie Griffith), confused after being attacked by thugs, wandering in his garden and he thinks she is actually an angel.",0.912,1977-01-01,The Garden,5.5,2,['Jerusalem'],[-2800]
74,[],642462,"A giallo starring Egyptian cinema's gawky answer to Tony Perkins, Muhammad Sabhy, as a psychotic hunchback whose many years of being mocked and rejected by women have left him seriously unhinged and with a decidedly misogynistic outlook.",0.6,1977-01-01,Where Will You Run?,5.0,1,['Egypt'],[-3150]
75,"[10751, 18]",503898,Sfaira (1971-1984) dedicated to Pythagoras and Plato is a homage to two of his favourite spheroids: the Earth and the Sun.,0.6,1977-01-12,Daredevil Times,6.5,3,"['Pythagoras', 'Plato']","[-570, -428]"
76,"[53, 9648, 18]",42357,The movie is about an Egyptian female who gets involved in spying for Israel.,0.699,1978-10-02,Up the Precepice,5.3,3,['Egypt'],[-3150]
77,"[18, 10752, 36]",456059,David Bek and Mkhitar Sparapet lead a major Armenian uprising against Safavid Persia in the Syunik region in the 18th century.,0.6,1978-10-15,Star of Hope,5.5,4,['Persia'],[-550]
78,"[28, 53, 80]",106139,"In Rome, a vagrant finds the body of a teen girl, her throat professional slashed. Police inspector Olmi uses his brutal and violent methods to follow a trail that leads him toward high government officials. When his methods leave an innocent bystander dead, the corrupt officials have an excuse to get Olmi transferred to a coastal town where the pace is slow and he has time for a romantic dalliance. Soon, Olmi discovers that fishing isn't the only local occupation, and out comes his gun and his ruthless tactics of investigation.",0.866,1978-12-23,Convoy Busters,6.1,9,['Rome'],[-753]
79,"[18, 35]",298349,An Egyptian comedy play from 1979 with the lead performance of Mohammed Subhi. The play follows Subhi who dons the mantles of different characters to help others; returning what is rightfully theirs.,0.6,1979-01-01,Aljukr,8.0,4,['Egypt'],[-3150]
80,"[18, 36, 10749]",9453,"The perversion behind imperial Rome, the epic story of Rome's mad Emporer. All the details of his cruel, bizarre reign are revealed right here: His unholy sexual passion for his sister, his marriage to Rome's most infamous prostitute, his fiendishly inventive means of disposing those who would oppose him, and more.",16.072,1979-08-14,Caligula,5.8,512,['Rome'],[-753]
81,[],221752,"A pair of twins, Anna and Tony,  leave their country to go to Rome to make their fortune. Anna knows how to sing and Tony knows how to dance. They suffer many setbacks, but they are willing to go the distance in order to succeed.",0.6,1979-11-07,"Maschio, femmina, fiore, frutto",7.0,1,['Rome'],[-753]
82,"[35, 10751, 18]",707401,"Her Excellency the Minister wife , a black comedy that reflects aspects of our bitter reality. There is no doubt that the theatrical drama since the first manifestation of its manifestation until now has not changed the law that Aristotle planned and codified for him, in addition to its dependence on the availability of the requirements of the dramatic conflict whereby he adopted the necessity of events and drew visions through beauty tools The technician is known, however, that the concept of conflict is beginning to change",0.99,1979-12-26,The Minister’s wife,7.0,1,['Aristotle'],[-384]
83,[18],56970,"The film begins when Eugenio, a 14 year old child, is conduced from his grandparents home outside Rome, to Giancarlo (his father) in the city, by Giancarlo's friend (called ""Moustache""). As Eugenio is bothering Moustache, he threatens Eugenio with leaving him in the middle of the country. He finally does it. When Giancarlo finds out, they return for Eugenio, but he is now lost. Meanwhile we're told the story of the child and his relation with the family, and why he feels unwanted.",0.67,1980-09-05,Voltati Eugenio,7.4,8,['Rome'],[-753]
84,[10402],90198,"While the rest of the Hebrews bewail their fate, Samson alone trusts in God's promise of liberty. Abimelech, the Philistine satrap of Gaza, enters to mock the Hebrews' God, proclaiming the superiority of Dagon, and the Hebrews are afraid of him. But calls them to show some defiance, so Abimelech attacks Samson with his sword. Samson seizes the sword and strikes him dead. The Hebrews scatter and the High Priest of Dagon appears, cursing the Hebrews. When a messenger reports that the Hebrews are ravaging the harvest, the High Priest forms a plan to use Delilah to overcome Samson's strength. Delilah's beauty is such that Samson can't resist her for long. She begs to know the secret of his supernatural strength, but he refuses, though he says he loves her. Delilah betrays Samson by having some Philistine soldiers seize him and throw him into a prison in Gaza, where his hair is cut off.",1.24,1981-01-01,Samson et Dalila,8.0,1,['Samson'],[-1118]
