Title,Release date,Time Period,Start Time,End Time,Location,genre_ids,movie_id,original_language,overview,popularity,title,video,vote_average,vote_count,genres,name,keywords,Full Location,latitude,longitude,ARS
Sudan,1945,2558-2532 BC,-2558,-2532,Egypt,"[12, 28, 10749]",137584,en,"A desert pickpocket, his sidekick, and an escaped slave help an incognito queen in danger.",2.709,Sudan,FALSE,6.8,4,"['Adventure', 'Action', 'Romance']","Maria Montez, Jon Hall, Turhan Bey, Andy Devine, George Zucco, Robert Warwick, Philip Van Zandt, Harry Cording, George Lynn, Charles Arnt","pickpocket, ancient egypt, escaped slave",مصر,26.2540493,29.2675469,23
Mohenjo Daro,2016,2500 - 2000 BC,-2500,-2500,Mohenjo-daro,"[12, 18, 36, 10749]",402672,hi,"During the Indus valley civilization, an Indigo farmer strives for the justice and protection of the city of Mohenjo-Daro and its civilians from an evil politician.",6.595,Mohenjo Daro,FALSE,6.4,61,"['Adventure', 'Drama', 'History', 'Romance']","Hrithik Roshan, Pooja Hegde, Kabir Bedi, Arunoday Singh, Kishori Shahane, Casey Frank, Manish Choudhary, Narendra Jha, Nitish Bharadwaj, Diganta Hazarika, Sharad Kelkar, Suhasini Mulay","crocodile, india, ancient civilization, bronze age, 21st century bc, crocodile, india, ancient civilization, bronze age, 21st century bc, crocodile, india, ancient civilization, bronze age, 21st century bc, crocodile, india, ancient civilization, bronze age, 21st century bc","Mohenjo-daro VS area, Moenjo Daro Road, سندھ, پاکستان",27.321657,68.1365933,8
Sodom and Gomorrah,1962,2100 BC,-2100,-2100,Israel,"[12, 18, 36]",43011,en,"Sex, torture and betrayal in Biblical Sodom and Gomorrah. Lot, leader of the Hebrews, believes his people can co-exist with the Sodomites, a disastrous decision.",8.435,Sodom and Gomorrah,FALSE,4.8,20,"['Adventure', 'Drama', 'History']","Stewart Granger, Stanley Baker, Pier Angeli, Rossana Podestà, Rik Battaglia, Anouk Aimée, Alice Kessler, Ellen Kessler","bible, epic, slave, old testament, sodom and gomorrah",ישראל,31.5313113,34.8667654,26
Abraham,1993,2100-2000 BC,-2100,-2000,Israel,"[18, 12, 36]",2701,en,"This engrossing dramatization of the life of Abraham, the most tested servant of God and the father of Judaism, spans from the patriarch's quest for the Promised Land to the sacrifice of his son, Isaac.",4.008,Abraham,FALSE,6.1,17,"['Drama', 'Adventure', 'History']","Richard Harris, Barbara Hershey, Carolina Rosi, Vittorio Gassman, Andrea Prodan, Gottfried John, Kevin McNally, Simona Ferraro, Tom Radcliffe, Jude Alderson, Evelina Meghnagi, Danny Mertsoy, Giuseppe Peluso, Timur Yusef, Taylor Scipio, Paolo Bonacelli, Mattia Sbragia, Christian Kohlund, Vincent Riotta, Renato Scarpa, Mario Erpichini, Emidio La Vella, Orso Maria Guerrini, Francesco Carnelutti, Mauro Marino, Maurizio Benazzo, Paco Reconti, Aziz Khaldoun, Rodolfo Corsato, Francesco Siciliano, Nadim Sawalha, Joel Proust, John McEnery, Maximilian Schell","bible, biography, christian film",ישראל,31.5313113,34.8667654,57
Jacob,1994,2000 BC (according to 00e Hebrew calendar),-1950,-2000,Damascus,"[36, 18, 10770]",2712,en,"In this inspiring tale from the book of Genesis, young shepherd Jacob (Matthew Modine) falls in love with and wants to marry Rachel (Lara Flynn Boyle), the daughter of his Uncle Laban (Giancarlo Giannini). Lacking a dowry, Jacob toils seven years as his uncle's indentured servant to win Rachel's hand. But calculating Laban dupes him into another seven years of labor. Irene Papas portrays Jacob's iron-willed mother.",5.427,Jacob,FALSE,5.9,26,"['History', 'Drama', 'TV Movie']","Matthew Modine, Lara Flynn Boyle, Sean Bean, Joss Ackland, Juliet Aubrey, Irene Papas, Giancarlo Giannini, Christoph Waltz, Christoph M. Ohrt, Philip Locke, Cecilia Dazzi, Yvonne Sciò, Garry Cooper, Bev Willis, James Hayes, Pádraig Lynch, William Sleigh, Linda Polan, Peter Gordon, Oliver Hobson, Neil Daglish, Zubin Varla, Anna Zapparoli, Michael Walker, Peter Jonfield, Crispin Redman, Julie Mullen, Michael Haughey, Emma Hall, Peter Turner, Daniel Newman","genesis, bible, christian film","دمشق, العمارة الجوانية, دمشق القديمة, محافظة دمشق, 2277, سوريا",33.5130695,36.3095814,29
The Story of Jacob and Joseph,1974,1950 BC,-1950,-1850,Israel,"[18, 10770]",135073,en,"This film recounts the tales of the Biblical figures, Jacob and Joseph. The first part tells the story of Jacob fleeing his tribe when he cheats his brother out of his birthright, gets cheated himself in his exile years while learning of the need to make amends. The second part is of the story of Jacob's favorite son, Joseph. Betrayed and sold into slavery by his brothers, he meets and overcomes all adversity to become the Prime Minister of Egypt, second only to the Pharaoh.",4.553,The Story of Jacob and Joseph,FALSE,6,1,"['Drama', 'TV Movie']","Tony Lo Bianco, Colleen Dewhurst, Herschel Bernardi, Harry Andrews, Julian Glover, Yona Elian, Yosef Shiloach, Rachel Shore, Bennes Mardenn, Yehuda Efroni, Yossi Graber, Shmuel Atzmon, Amnon Meskin, Zila Carni, Keith Michell, Alan Bates","christianity, egypt, bible, faith",ישראל,31.5313113,34.8667654,19
Joseph,1995,1901-1850 BC,-1950,-1850,Egypt,"[18, 36]",2405,en,"The Biblical story of Joseph, who was sold to slavery by his brothers who were jealous of his prophetic abilities to analyze dreams and of his being their fathers' favorite.",32.924,Joseph,FALSE,8.4,120,"['Drama', 'History']","Ben Kingsley, Paul Mercurio, Dominique Sanda, Lesley Ann Warren, Martin Landau, Alice Krige, Warren Clarke, Monica Bellucci, Stefano Dionisi, Valéria Cavalli, Kelly Miracco, Gloria Carlin, Michael Angelis, Vincenzo Nicoli, Colin Bruce, Michael Attwell, Davide Cincis, Rodolfo Corsato, Pete Lee-Wilson, Selva Rasalingam, Diego Wallraff, Michael Zimmermann, Jamie Glover, Rinaldo Rocco, Timur Yusef, Paloma Baeza, Brett Warren, Anna Mazzotti, Andrew Clover, Arthur Brauss, Eric P. Caspar, Anton Alexander, Milton Johns, Renato Scarpa, Peter Eyre, Timothy Bateson, Josh Maguire, Gabriel Thomson, Oliver Cotton, Anna Zapparoli","bible, ancient egypt, old testament, sold into slavery",مصر,26.2540493,29.2675469,48
Slave of Dreams,1995,1901-1850 BC,-1950,-1850,Egypt,[],225417,en,The Egyptian executioner's wife tries to seduce Hebrew slave Joseph to fulfill a dream they are experiencing simultaneously.,0.6,Slave of Dreams,FALSE,0,0,[],"Edward James Olmos, Sherilyn Fenn, Adrian Pasdar, Philip Newman, Nadia Sawalha, Nabil Shaban, Orso Maria Guerrini, Kevork Malikyan, Emanuele Carucci Viterbi, Francesco Carnelutti",,مصر,26.2540493,29.2675469,6
"Atlantis: End of a World, Birth of a Legend",2011,1600 BC,-1600,-1600,Santorini,"[28, 18]",83975,en,"Tells the story of the greatest natural disaster of the ancient world, an event that experts believe inspired the legend of Atlantis.",5.236,"Atlantis: End of a World, Birth of a Legend",FALSE,5.9,25,"['Action', 'Drama']","Stephanie Leonidas, Reece Ritchie, Langley Kirkwood, Isadora Verwey, Natalie Becker, Tony Caprari, Tom Conti","atlantis, end of world","Σαντορίνη, Δημοτική Ενότητα Θήρας, Δήμος Θήρας, Περιφερειακή Ενότητα Θήρας, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς",36.4071112,25.45666365,9
"Nefertiti, Queen of the Nile",1961,1370-1330 BC,-1370,-1330,Egypt,"[18, 36]",77971,it,Chronicles the rise and fall of the woman who eventually became known as Queen Nefertiti.,4.906,"Nefertiti, Queen of the Nile",FALSE,4.8,12,"['Drama', 'History']","Jeanne Crain, Vincent Price, Edmund Purdom, Amedeo Nazzari, Liana Orfei, Carlo D'Angelo, Alberto Farnese, Clelia Matania, Giulio Marchetti, Piero Palermini, Umberto Raho, Raf Baldassarre","ancient egypt, pharaoh, peplum, nefertiti, 14th century bc",مصر,26.2540493,29.2675469,34
The Egyptian,1954,1350 BC,-1350,-1350,Egypt,"[36, 18]",24973,en,"In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth.",9.194,The Egyptian,FALSE,6.2,56,"['History', 'Drama']","Jean Simmons, Victor Mature, Gene Tierney, Peter Ustinov, Edmund Purdom, Michael Wilding, Bella Darvi, Judith Evelyn, Henry Daniell, John Carradine, Carl Benton Reid, Tommy Rettig, Anitra Stevens, Michael Ansara, Henry Corden, Mady Comfort, Richard Allan, Sharon Jan Altman, Rama Bai, Don Bender, Don Blackman, Geraldine Bogdonovich, Brad Brown, George Bruggeman, George Chester, Angela Clarke, Edmund Cobb, Karl 'Killer' Davis, Carmen De Lavallade, Alvin Burke Deer, James Dime, Franco Fantasia, Dede Gainor, Aurello Galli, John George, Mimi Gibson, Michael Granger, Yeghishe Harout, Lars Hensen, Kay Koury, Paul Kruger, Ian MacDonald, Tyler MacDuff, Tiger Joe Marsh, Donna Martell, Mike Mazurki, George Melford, John Mooney, Wilma Reid, Peter Reynolds, John Roy, Lawrence Ryle, Paul Salata, Harry Shearer, Ray Spiker, Saye Sumi, Harry Thompson, Alice Tissot, Joan Winfield","egypt, courtesan, epic, desert, ancient egypt, pharoah, 14th century bc, valley of the kings",مصر,26.2540493,29.2675469,84
Troilus & Cressida,1981,1305 BC,-1200,-1305,Anatolia,[18],119913,en,"The bitter Trojan War drags on - the Greeks blame Achilles' apathy for low morale, while Troy's hero Hector challenges one of the enemy to a personal duel. And after her father exchanges Cressida for a Trojan prisoner, the war becomes personal for her distraught lover Troilus.",1.684,Troilus & Cressida,FALSE,8,1,['Drama'],"Anton Lesser, Suzanne Burden, Charles Gray, Benjamin Whitrow, John Shrapnel, Tony Steedman, Max Harvey, Geoffrey Chater, Bernard Brown, Kenneth Haigh, Jack Birkett, Vernon Dobtcheff, Peter Walmsley, Simon Cutter, Esmond Knight, Anthony Pedley, Elayne Sharling, Paul Moriarty, Ann Pennington, Peter Whitbread, David Kinsey, Merelina Kendall, Cornelius Garrett, Tony Portacio, Peter J. Cassell, Harry Fielder","trojan war, ancient greece","Asia Minor, İç Anadolu Bölgesi, Türkiye",39.05742105,32.31123751,38
Fury of Achilles,1962,1300 BC,-1190,-1300,Anatolia,"[10752, 12, 36, 18, 10749]",81409,it,"In the tenth year of the Trojan War, tensions between Achilles and Agamemnon divide the Greek camp while giving hope to the Trojans.",2.439,Fury of Achilles,FALSE,6.7,3,"['War', 'Adventure', 'History', 'Drama', 'Romance']","Gordon Mitchell, Jacques Bergerac, Mario Petri, Cristina Gaïoni, Ennio Girolami, Gloria Milland, Eleonora Bianchi, Edith Peters, Tina Gloriani, Piero Lulli, Erminio Spalla, Nando Tamberlani, Remo De Angelis, Gian Paolo Rosmino, Romano Ghini, Manfred Freyberger, Maria Laura Rocca, Anita Todesco, Gina Mascetti, Dada Gallotti, Fosco Giachetti, Roberto Risso",,"Asia Minor, İç Anadolu Bölgesi, Türkiye",39.05742105,32.31123751,39
Jason and the Argonauts,1963,1300 BC,-1300,-1300,Hisarlik,"[12, 10751, 14]",11533,en,"Jason, a fearless sailor and explorer, returns to his home land of Thessaly after a long voyage to claim his rightful throne. He learns, however, that he must first find the magical Golden Fleece. To do so, he must embark on an epic quest fraught with fantastic monsters and terrible perils.",31.774,Jason and the Argonauts,FALSE,7.1,429,"['Adventure', 'Family', 'Fantasy']","Todd Armstrong, Nancy Kovack, Gary Raymond, Laurence Naismith, Niall MacGinnis, Michael Gwynn, Douglas Wilmer, Jack Gwillim, Honor Blackman, John Cairney, Patrick Troughton, Andrew Faulds, Nigel Green, John Crawford, Ferdinando Poggi, Ennio Antonelli, Harold Bradley, Aldo Cristiani, Eva Haddon, Doug Robinson, Davina Taylor, Tim Turner","hero, greek mythology, menace, ship, bravery, skeleton, vlies, stop motion, ancient greece, golden fleece, based on myths, legends or folklore, sea voyage","Hisarlık, Hisarlık Mahallesi, Tire, İzmir, Ege Bölgesi, Türkiye",38.0664791,27.7033614,47
Las Troyanas,1963,1300 BC,-1200,-1300,Anatolia,[],533220,es,Adaptation of Euripides: lamentations of the women of Troy after their defeat in war.,0.728,Las Troyanas,FALSE,6,4,[],"Ofelia Guilmáin, Erna Martha Bauman, Mercedes Pascual, Virginia Gutiérrez, Beatriz Sheridan, Enrique Lizalde, Carmen Montejo, Mónica Serna",,"Asia Minor, İç Anadolu Bölgesi, Türkiye",39.05742105,32.31123751,0
The Lion of Thebes,1964,1300 BC,-1190,-1300,Anatolia,"[18, 28, 12]",211139,it,"Fleeing Troy in the wake of its destruction, fair-faced Helen and her faithful protector Arion run into the pharaoh Ramses, who sets his sights on Helen -- and is subsequently murdered. Now it's up to Arion to save Helen from those who wish her dead.",2.246,The Lion of Thebes,FALSE,8.8,4,"['Drama', 'Action', 'Adventure']","Mark Forest, Yvonne Furneaux, Massimo Serato, Pierre Cressoy, Nerio Bernardi, Rosalba Neri, Carlo Tamberlani","sword and sandal, peplum","Asia Minor, İç Anadolu Bölgesi, Türkiye",39.05742105,32.31123751,31
Moses,1995,1300 BC,-1300,-1300,Egypt,[18],2719,en,"An ordinary man is called upon by God to do the impossible in this lovingly told production of the Old Testament story. When the Pharaoh of Egypt begins to tighten the noose on his Jewish slaves, Moses (Ben Kingsley) leads them to freedom. Philip Stone, Anthony Higgins, Anton Lesser and Anita Zagaria are featured in this award-winning installment from TNT's ""greatest stories of the Bible"" series directed by Roger Young.",18.788,Moses,FALSE,6.5,28,['Drama'],"Ben Kingsley, Frank Langella, Christopher Lee, Anna Galiena, Anita Zagaria, Enrico Lo Verso, Philippe Leroy, David Suchet, Geraldine McEwan, Maurice Roëves, Anthony Higgins, Dudley Sutton, Philip Stone, Federico Pacifici, Sônia Braga, Anton Lesser, Urbano Barberini, Paolo Calabresi, Riccardo Salerno, Bruno Bilotta, Lawrence Blight, Christian Ashton, Christian Catuogno, Daniel Wilson, Florian Fitz, Soumaya Harris, Mark Lewis, Bruce Lidington, Loris Loddi, Jacqueline Lustig, Justine Midda, Stefania Montorsi, Benito Pacifico, Franco Maria Salamon, Claudio Pacifico, Vincent Riotta, Imane Soussi, Sarah Thomas, Amy Werba, Robert Willox, Timur Yusef, Aziz Janah","moses, ark of the covenant, ten commandments, bible, passover, 13th century bc",مصر,26.2540493,29.2675469,50
The Ten Commandments,1956,1290-1213 BC,-1300,-1213,Egypt,"[18, 36]",6844,en,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.",64.562,The Ten Commandments,FALSE,7.7,1092,"['Drama', 'History']","Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson, Yvonne De Carlo, Debra Paget, John Derek, Cedric Hardwicke, Nina Foch, Martha Scott, Judith Anderson, Vincent Price, John Carradine, Olive Deering, Douglass Dumbrille, Frank De Kova, Henry Wilcoxon, Eduard Franz, Donald Curtis, Lawrence Dobkin, H.B. Warner, Julia Faye, Lisa Mitchell, Noelle Williams, Joanna Merlin, Pat Richard, Joyce van der Veen, Diane Hall, Abbas El Boughdadly, Fraser Clarke Heston, John Miljan, Francis McDonald, Ian Keith, Paul De Rolf, Woody Strode, Tommy Duran, Eugene Mazzola, Ramsay Hill, Joan Woodbury, Esther Brown, Rushdy Abaza, Dorothy Adams, Eric Alden, E.J. André, Babette Bain, Baynes Barron, Kay Bell, Mary Benoit, Henry Brandon, Robert Carson, Bobby Clark, Rus Conklin, Mike Connors, Henry Corden, Edna Mae Cooper, Kem Dibbs, Maude Fealy, Mimi Gibson, Gavin Gordon, Diane Gump, Nancy Hale, June Jocelyn, Richard Kean, Gail Kobe, Fred Kohler Jr., Kenneth MacDonald, Peter Mamakos, Irene Martin, George Melford, John Merton, Amena Mohamed, Paula Morgan, Dorothy Neumann, John Parrish, Rodd Redwing, Addison Richards, Keith Richards, Hal Sherman, Marcoreta Starr, Onslow Stevens, Clint Walker, Amanda Webb, Frank Wilcox, Jeane Wood, Luis Alberni, Lillian Albertson, Barbara Aler, Michael Ansara, William Bagdad, Lesley-Marie Colburn, Fairy Cunningham, Kay Hammond, Mary Ellen Kay, Robert Vaughn, Alan Wells, Cecil B. DeMille, Richard Farnsworth","moses, israel, egypt, miracle, slavery, ten commandments, bible, epic, religion, judaism, ancient egypt, technicolor, old testament, pharaoh, passover, 13th century bc",مصر,26.2540493,29.2675469,123
The Prince of Egypt,1998,1290-1213 BC,-1300,-1213,Egypt,"[12, 16, 18, 10751]",9837,en,"This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.",43.191,The Prince of Egypt,FALSE,7.2,3100,"['Adventure', 'Animation', 'Drama', 'Family']","Val Kilmer, Ralph Fiennes, Michelle Pfeiffer, Sandra Bullock, Jeff Goldblum, Danny Glover, Patrick Stewart, Helen Mirren, Steve Martin, Martin Short, Bobby Motown, Eden Riegel, Ofra Haza, James Avery, Aria Noelle Curzon, Stephanie Sawyer, Francesca Marie Smith, Shira Roth, Michel Patrician, Chris Marquette, Justin Timsit, Andrew Johnson, Jack Angel, Mel Brooks, Amick Byram, Brenda Chapman, Sally Dworsky, Jon Robert Hall, Phillip Ingram, Brian Stokes Mitchell, Linda Shayne, Brian Tochi, Rodger Bumpass","moses, egypt, pyramid, exodus, kingdom, musical, governance, ancient egypt, pharaoh, woman director, passover, 13th century bc",مصر,26.2540493,29.2675469,12
